"Citation","PubData"
"Machida et al. 1992","Machida, N., N. Izumisawa, T. Nakamura, and K. Kiryu. 1992. Canine-Distemper Virus-Infection in a Masked Palm Civet (Paguma-Larvata). Journal of Comparative Pathology 107:439-443."
"Machida et al. 1993","Machida, N., K. Kiryu, K. Ohishi, E. Kanda, N. Izumisawa, and T. Nakamura. 1993. Pathology and epidemiology of canine-distemper in raccoon dogs (Nyctereutes procyonoides). Journal of Comparative Pathology 108:383-392."
"Machnicka et al. 2003","Machnicka, B., E. Dziemian, B. Rocki and M. Kolodziej-Sobocinska. 2003. Detection of echinococcus multilocularis antigens in faeces by elisa. Parasitology Research 91: 491-496"
"MacIntosh et al. 2008","MacIntosh, A. J., D. Hernandez, and M. A. Huffman. 2008. The Importance of Host Age and Sex to the Distribution of Helminth Parasites Infecting Free-Ranging Yaku-Island Macaques (Macaca fuscata yakui) (abstract).  American Journal of Primatology 70: 67."
"Macintosh et al. 2010","Macintosh, A.J.J., Hernandez, A.D., and M.A. Huffman. 2010. Host age, sex, and reproductive seasonality affect nematode parasitism in wild Japanese macaques."
"Maciulskis et al. 2006","Maciulskis, P., K. Lukauskas, A. Sederevicius, V. Kiudulas and A. Pockevicius. 2006. Epidemiology of enzootic rabies in lithuania. Medycyna Weterynaryjna 62: 769-772"
"MacIvor 1985","MacIvor, K. M. (1985). ""The Distribution and Hosts of Rhipicephalus-Glabroscutatum."" Onderstepoort Journal of Veterinary Research 52(1): 43-46."
"MacIvor et al 1987","MacIvor, K. M., Horak, A. G., Houlton, K. C., and T. N. Petney (1987) A comparison of live and destructive sampling methods of determining the size of parasitic tick populations.  Experimental and Applied Acarology, 3: 131-143"
"Mackereth et al. 2005","Mackereth, G. F., K. M. Webb, J. S. O'Keefe, P. J. Duignan and R. Kittelberger. 2005. Serological survey of pre-weaned new zealand fur seals (arctocephalus forsteri) for brucellosis and leptospirosis. New Zealand Veterinary Journal 53: 428-432"
"MacKinnon and Burt 1992","Mackinnon, B. M., and M. D. B. Burt. 1992. Functional-morphology of the female reproductive-tract of Pseudoterranova decipiens (Nematoda) raised invivo and invitro. Zoomorphology 112:237-245."
"Macko and Birova 1989","Macko, J. K. and V. Birova (1989). ""On the Variability of Dicrocoelium-Dendriticum (Rudolphi, 1819) in Domestic and Free-Living Animals V. On the Variability of Hostophenotes from Free-Living Artiodactyla in Slovakia (Czechoslovakia)."" Helminthologia (Bratislava) 26(3): 177-186."
"Macri et al. 1997","Macri, N. P., G. W. Stevenson, and C. C. Wu. 1997. Salmonella arizonae sepsis in a lynx. Journal of Wildlife Diseases 33:908-911."
"Madic et al. 1993","Madic, J., D. Huber, and B. Lugovic. 1993. Serologic Survey for Selected Viral and Rickettsial Agents of Brown Bears (Ursus-Arctos) in Croatia. Journal of Wildlife Diseases 29:572-576."
"Madsen and Anderson 1995","Madsen, M, and Anderson, EC (1995) Serologic survey of Zimbabwean wildlife for brucellosis.  Journal of Zoo and Wildlife Medicine, 26 (2) 240-245"
"Magi et al. 2008","Magi, M., P. Calderini, S. Gabrielli, M. Dell'Omodarme, F. Macchioni, M. C. Prati and G. Cancrini. 2008. Vulpes vulpes: A possible wild reservoir for zoonotic filariae. Vector-Borne and Zoonotic Diseases 8: 249-252"
"Magi et al. 2009a","Magi, M., L. Guardone, M. Dell'Omodarme, M. C. Prati, W. Mignone, B. Torracca, G. Monni and F. Macchioni. 2009. Angiostrongylus vasorum in red foxes (vulpes vulpes) and badgers (meles meles) from central and northern italy. Hystrix-Italian Journal of Mammalogy 20: 121-126"
"Magi et al. 2009b","Magi, M., F. Macchioni, M. Dell'Omodarme, M. C. Prati, P. Calderini, S. Gabrielli, A. Iori and G. Cancrini. 2009. Endoparasites of red fox (vulpes vulpes) in central italy. Journal of Wildlife Diseases 45: 881-885"
"Magnarelli et al 1986","Magnarelli, L. A., J. F. Anderson, et al. (1986). ""Spirochetes in Ticks and Antibodies to Borrelia-Burgdorferi in White-Tailed Deer Odocoileus-Virginianus from Connecticut New-York State and North-Carolina USA."" Journal of Wildlife Diseases 22(2): 178-188."
"Magnarelli et al 1993","Magnarelli, L., A., Anderson John, F., and Cartter Matthew, L. 1993. Geographic distribution of white-tailed deer with ticks and antibodies to Borrelia burgdorferi in Connecticut. Yale Journal of Biology and Medicine, 66:19-26."
"Magnarelli et al 1995a","Magnarelli, L., A., A. Denicola, et al. (1995). ""Borrelia burgdorferi in an Urban environment: White-tailed deer with infected ticks and antibodies."" Journal of Clinical Microbiology 33(3): 541-544."
"Magnarelli et al 1995b","Magnarelli, L., A., F. Anderson John, et al. (1995). ""Analyses of mammalian sera in enzyme-linked immunosorbent assays with different strains of Borrelia burgdorferi sensu lato."" Journal of Wildlife Diseases 31(2): 159-165."
"Magnarelli et al 1999","Magnarelli, L., A., I. J. J. W, et al. (1999). ""Infections of granulocytic ehrlichiae and Borrelia burgdorferi in white-tailed deer in Connecticut."" Journal of Wildlife Diseases 35(2): 266-274."
"Magnarelli et al. 1991","Magnarelli, L. A., J. H. Oliver, H. J. Hutcheson, and J. F. Anderson. 1991. Antibodies to Borrelia-Burgdorferi in Deer and Raccoons. Journal of Wildlife Diseases 27:562-568."
"Magnarelli et al. 1995","Magnarelli, L. A., J. F. Anderson, and R. C. Johnson. 1995. Analyses of Mammalian Sera in Enzyme-Linked Immunosorbent Assays with Different Strains of Borrelia-Burgdorferi Sensu- Lato. Journal of Wildlife Diseases 31:159-165."
"Magnaval et al. 2004","Magnaval, J. F., C. Boucher, B. Morassin, F. Raoul, C. Duranton, P. Jacquiet, P. Giraudoux, D. A. Vuitton and R. Piarroux. 2004. Epidemiology of alveolar echinococcosis in southern cantal, auvergne region, france. Journal of Helminthology 78: 237-242"
"Mahieux et al. 1998","Mahieux, R., J. Pecon-Slattery, G. M. Chen, and A. Gessain. 1998. Evolutionary inferences of novel simian T lymphotropic virus type 1 from wild-caught chacma (Papio ursinus) and olive baboons (Papio anubis). Virology 251:71-84."
"Mahnke et al 1993","Mahnke, G., L., E. Stallknecht David, et al. (1993). ""Serologic survey for antibodies to Borrelia burgdorferi in white-tailed deer in Georgia."" Journal of Wildlife Diseases 29(2): 230-236."
"Maithili et al 2005","Maithili, M. J., Marathe, R. R., Goel, S. S., Ranade, S. P., Krushnamegh, K. K., Watve, M. G. (2005) Sarcocystosis of chital (Axis axis) and dhole (Cuon alpinus): ecology of a mammalian prey-predator-parasite system in Peninsular India. Journal of Tropical Ecology 21: 479-482."
"Majlathova et al. 2007","Majlathova, V., Z. Hurnikova, I. Majlath and B. Petko. 2007. Hepatozoon canis infection in slovakia: Imported or autochthonous? Vector-Borne and Zoonotic Diseases 7: 199-202"
"Majoros and Sztojkov 1994","Majoros, G. and V. Sztojkov (1994). ""Appearance of the large American liver fluke Fascioloides magna (Bassi, 1875) (Trematoda: Fasciolata) in Hungary."" Parasitologia Hungarica 27(0): 27-38."
"Mak 1982","Mak, J. W., W. H. Cheong, P. K. F. Yen, P. K. C. Lim, and W. C. Chan. 1982. Studies on the Epidemiology of Subperiodic Brugia-Malayi in Malaysia - Problems in Its Control. Acta Tropica 39:237-245."
"Mak 1984","Mak, J. W. 1984. Zoonotic Filariasis in Malaysia. The Malaysian Veterinary Journal 8:9- 12."
"Makuwa et al. 2004","Makuwa, M., S. Souquiere, S.L. Clifford, P.T. Telfer, B. Salle, O. Bourry, R. Onanga, A. Mouinga-Ondeme, E.J. Wickings, K.A. Abernethy, P. Rouquet, F. Simon, P. Roques. Two Distinct STLV-1 Subtypes Infecting Mandrillus sphinx Follow the Geographic Distribution of Their Hosts. AIDS Research and Human Retroviruses. October 2004, 20(10): 1137-1143."
"Malczewski et al. 1995","Malczewski, A., B. Rocki, A. Ramisz, and J. Eckert. 1995. Echinococcus-Multilocularis (Cestoda), the Causative Agent of Alveolar Echinococcosis in Humans - First Record in Poland. Journal of Parasitology 81:318-321."
"Malczewski et al. 2008","Malczewski, A., J. Gawor and M. Malczewska. 2008. Infection of red foxes (vulpes vulpes) with echinococcus multilocularis during the years 2001-2004 in poland. Parasitology Research 103: 501-505"
"Maldonado-Lopez et al. 2014","Maldonado-Lopez, S., Maldonado-Lopez, Y., Gomez-Tagle Ch., A., P. Cuevas-Reyes, and K. E. Stoner. 2014. Patterns of infection by intestinal parasites in sympatric howler monkey (Alouatta palliata) and spider monkey (Ateles geoffroyi) populations in a tropical dry forest in Costa Rica."
"Maldonado and Kirkland 1986","Maldonado, J. E., and G. L. Kirkland. 1986. Relationship between Cranial Damage Attributable to Skrjabingylus (Nematoda) and Braincase Capacity in the Striped Skunk (Mephitis-Mephitis). Canadian Journal of Zoology-Revue Canadienne De Zoologie 64:2004-2007."
"Malek et al. 1961","Malek, E. A., Ash, L. R., Lee, H. F., and Little, M. D. (1961). Heterobilharzia infection in the dog and other mammals in Louisiana. The Journal of parasitology, 47(4), 619-623."
"Malik et al 2000","Malik, P., B. R. Singh, et al. (2000). ""Pathogenic attributes of Escherichia coli isolates from free-ranging sambars (Cervus unicolor)."" Indian Journal of Animal Sciences 70(11): 1108-1111."
"Mamaev et al. 1995","Mamaev, L. V., N. N. Denikina, S. I. Belikov, V. E. Volchkov, I. K. G. Visser, M. Fleming, C. Kai et al. 1995. Characterization of Morbilliviruses Isolated from Lake Baikal Seals (Phoca-Sibirica). Veterinary Microbiology 44:251-259."
"Mamaev et al. 1996","Mamaev, L. V., I. K. G. Visser, S. I. Belikov, N. N. Denikina, T. Harder, L. Goatley, B. Rima et al. 1996. Canine distemper virus in Lake Baikal seals (Phoca sibirica). Veterinary Record 138:437-439."
"Manangan et al 2007","Manangan, J.S., Schweitzer, S.H., Nibbelink, N., Yabsley, M.J., Gibbs, S.E.J., Wimberly. M.C. (2007) Habitat factors influencing distributions of Anaplasma phagocytophilium and Ehrlichia chaffeensis in the Mississippi Alluvial Valley. VECTOR-BORNE AND ZOONOTIC DISEASES 7: 563-573."
"Manas et al. 2001","Manas, S., J. C. Cena, J. Ruiz-Olmo, S. Palazon, M. Domingo, J. B. Wolfinbarger, and M. E. Bloom. 2001. Aleutian mink disease parvovirus in wild riparian carnivores in Spain. Journal of Wildlife Diseases 37:138-144."
"Manas et al. 2005","Manas, A., D. Ferrer, J. Castella and J. M. Lopez-Martin. 2005. Cardiopulmonary helminth parasites of red foxes (vulpes vulpes) in catalonia, northeastern spain. Veterinary Journal 169: 118-120"
"Mancianti et al 1997","Mancianti, F., W. Mignone, et al. (1997). ""Keratinophilic fungi from coats of wild boars in Italy."" Journal of Wildlife Diseases 33(2): 340-342."
"Mancianti et al. 1994","Mancianti, F., W. Mignone, and F. Galastri. 1994. Serologic Survey for Leishmaniasis in Free-Living Red Foxes (Vulpes-Vulpes) in Italy. Journal of Wildlife Diseases 30:454-456."
"Manfredi et al 2007b","Manfredi, M.T., Di Cerbo, A.R., Tranquillo, V., Nassuato, C., Pedrotti, L., Piccolo, G. (2007) Abomasal nematodes of the red deer Cervus elaphus in north-eastern Italy. Journal of Helminthology 81: 247-251."
"Manna et al 1991","Manna, B., Saraf, S and S, K. Sur (1991) Infection of Axis maculatus with Cotylophoron indicum and ceylanocotyle scoliocoelium in Bolphur deer park, West Bengal (India). Indian Journal of Animal Health, June: 95-96."
"Mannelli et al. 1993","Mannelli, A., U. Kitron, C. J. Jones, and T. L. Slajchert. 1993. Ixodes-Dammini (Acari, Ixodidae) Infestation on Medium-Sized Mammals and Blue Jays in Northwestern Illinois. Journal of Medical Entomology 30:950-952."
"Manville 1978","Manville, A. M. (1978). Ecto-and endoparasites of the black bear in northern Wisconsin. Journal of Wildlife Diseases, 14(1), 97-101."
"Mapua et al. 2015","MAPUA, M. I., M. A. QABLAN, K. POMAJBIçKOVAÅ, K. J. PETRZELKOVAÅ, Z. HUZOVAÅ, J. RADROVAÅ, J. VOTYPKA, A. TODD, M. JIRKU, F. H. LEENDERTZ, J. LUKES, C. NEEL, and D. MODRY. 2015. Ecology of malaria infections in western lowland gorillas inhabiting Dzanga Sangha Protected Areas, Central African Republic. Parasitology 142:890-900."
"Maratea et al. 2003","Maratea, J., D. R. Ewalt, S. Frasca, J. L. Dunn, S. De Guise, L. Szkudlarek, D. J. St Aubin and R. A. French. 2003. Evidence of brucella sp infection in marine mammals stranded along the coast of southern new england. Journal of Zoo and Wildlife Medicine 34: 256-261"
"Marchiondo et al. 1986","Marchiondo, A. A., J. F. Karpowitz, and G. A. Conder. 1986. Parasites of the bobcat (Lynx rufus pallescens) in central and southern Utah. Proceedings of the Helminthological Society of Washington 53:113-116."
"Marcili et al., 2009","Marcili, A., Valente, V.C., Valente, S.A., Junqueira, A.C.V., da So;va, F.M., Pinto, A.Y.d.N., Naiff, R.D., Campaner, M., Coura, J.R., Camargo, E.P., Miles, M.A., and M.M.G. Teixeira. 2009. Trypanosoma cruzi in Brazilian Amazonia: Lineages TCI and TCIIa in wild primates, Rhodnius spp. and in humans with Chagas disease associated with oral transmission. International Journal for Parasitology 39:615-623."
"Marco et al 2000","Marco, I., Velarde, R., Castella, J., Ferrer, D and S. Lavin (2000) Presumptive Babesia ovis infection in a spanish ibex (Capra pyrenaica). Veterinary Parasitology, 87: 217-221."
"Marco et al 2002","MArco, I., Ruiz, M., Juste, R., Garrido, J. M., Lavin, S. (2002) Paratuberculosis in Free-Ranging Fallow Deer in Spain. Journal of Wildlife diseases 38: 629-632."
"Marco et al 2007","Marco, I., Lopez-Olvera, J. R., Rosell, R., Vidal, E., Hurtado, A., Juste, R., Pumarola, M., Lavin, S. (2007) Severe outbreak of disease in the southern chamois (Rupicapra pyrenaica) associated with border disease virus infection. Veterinary Microbiology 120: 33-41."
"Marco et al 2008a","Marco, I., E. Ferroglio, J. R. Lopez-Olvera, J. Montane and S. Lavin. 2008. High seroprevalence of neospora caninum in the red fox (vulpes vulpes) in the pyrenees (ne spain). Veterinary Parasitology 152: 321-324"
"Marco et al 2008b","Marco, I., Rosell, R., Cabezon, O., Mentaberre, G., Casas E., Velarde, R., Lopez-Olvera, J.R., Hurtado, A., Lavin, S. (2008) Epidemiological study of border disease virus infection in Southern chamois (Rupicapra pyrenaica) after an outbreak of disease in the Pyrenees (NE Spain). Veterinary Microbiology 127: 29-38."
"Marco et al 2009","Marco, I., Mentaberre, G., Ballesteros, C., Bischof, D. F., Lavin, S., Vilei, E. M. (2009) First Report of Mycoplasma conjunctivae from Wild Caprinae withInfectious Keratoconjunctivitis in the Pyrenees (NE Spain). Journal of Wildlife diseases 45: 238-241."
"Marco et al 2009c","Marco, I., Velarde, R., Lopez-Olvera, J.R., Cabezon, O., Pumarola, M., Lavin, S. (2009) Systemic toxoplasmosis and gram-negative sepsis in a southern chamois (Rupicapra pyrenaica) from the Pyrenees in northeast Spain. Journal of Veterinary Diagnostic Investigation 21: 244-247."
"Marco et al 2009d","Marco, I., Rosell, R., Cabezon, O., Mentaberre, G., Casas, E., Velarde, R., Lavin, S. (2009) Border disease virus among Chamois, Spain. Emerging Infectious Diseases 15: 448-451."
"Marcogliese 1997","Marcogliese, D. J. 1997. Fecundity of sealworm (Pseudoterranova decipiens) infecting grey seals (Halichoerus grypus) in the Gulf of St. Lawrence, Canada: Lack of density-dependent effects. International Journal for Parasitology 27:1401-1409."
"Marcogliese et al. 1996","Marcogliese, D. J., F. Boily, and M. O. Hammill. 1996. Distribution and abundance of stomach nematodes (Anisakidae) among grey seals (Halichoerus grypus) and harp seals (Phoca groenlandica) in the Gulf of St. Lawrence. Canadian Journal of Fisheries and Aquatic Sciences 53:2829-2836."
"Mares et al 1984","Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74"
"Margolis et al. 1997","Margolis, L., J. M. Groff, S. C. Johnson, T. E. McDonald, M. L. Kent, and R. B. Blaylock. 1997. Helminth parasites of sea otters (Enhydra lutris) from Prince William Sound, Alaska: Comparisons with other populations of sea otters and comments on the origin of their parasites. Journal of the Helminthological Society of Washington 64:161-168."
"Mariano et al 2009","Mariano, V., McCrindle, C. M. E., Cenci-Goga, B., Picard, J. A. (2009) Case-Control Study To Determine whether River Water Can SpreadTetracycline Resistance to Unexposed Impala (Aepyceros melampus)in Kruger National Park (South Africa). APPLIED AND ENVIRONMENTAL MICROBIOLOGY 75: 113-118."
"Marinkelle 1976","Marinkelle, C. J. 1976. The biology of Trypanosomes of non-human primates. in: Biology of the Kinetoplastida. Vol. 1. eds. Lumsden, W. H. R. and D. A. Evans. London: Academic Press. 218-256."
"Maritim et al 1992","Maritim, A. C., A. S. Young, et al. (1992). ""Transformation of Theileria-Parva Derived from African Buffalo Syncerus-Caffer by Tick Passage in Cattle and Its Use in Infection and Treatment Immunization."" Veterinary Parasitology 43(1-2): 1-14."
"Marks and Bloomfield 1998","Marks, C. A., and T. E. Bloomfield. 1998. Canine heartworm (Dirofilaria immitis) detected in red foxes (Vulpes vulpes) in urban Melbourne. Veterinary Parasitology 78:147-154."
"Markussen and Have 1992","Markussen, N. H., and P. Have. 1992. Phocine Distemper Virus-Infection in Harp Seals (Phoca- Groenlandica). Marine Mammal Science 8:19-26."
"Marquez et al. 2009","Marquez, F. J., J. Millan, J. J. Rodriguez-Liebana, I. Garcia-Egea and M. A. Muniain. 2009. Detection and identification of bartonella sp in fleas from carnivorous mammals in andalusia, spain. Medical and Veterinary Entomology 23: 393-398"
"Marsilio et al. 1997","Marsilio, F., P. G. Tiscar, L. Gentile, H. U. Roth, G. Boscagli, M. Tempesta, and A. Gatti. 1997. Serologic survey for selected viral pathogens in brown bears from Italy. Journal of Wildlife Diseases 33:304-307."
"Martella et al. 2002","Martella, V., A. Pratelli, F. Cirone, N. Zizzo, N. Decaro, A. Tinelli, M. Foti and C. Buonavoglia. 2002. Detection and genetic characterization of canine distemper virus (cdv) from free-ranging red foxes in italy. Molecular and Cellular Probes 16: 77-83"
"Martin-Atance et al. 2005","Martin-Atance, P., F. Palomares, M. Gonzalez-Candela, E. Revilla, M. J. Cubero, J. Calzada and L. Leon-Vizcaino. 2005. Bovine tuberculosis in a free ranging red fox (vulpes vulpes) from donana national park (spain). Journal of Wildlife Diseases 41: 435-436"
"Martin-Atance et al. 2006","Martin-Atance, P., L. Leon-Vizcaino, F. Palomares, E. Revilla, M. Gonzalez-Candela, J. Calzada, M. J. Cubero-Pablo and M. Delibes. 2006. Antibodies to mycobacterium bovis in wild carnivores from donana national park (spain). Journal of Wildlife Diseases 42: 704-708"
"Martin and Zeidner 1992","Martin, H. D., and N. S. Zeidner. 1992. Concomitant Cryptosporidia, Coronavirus and Parvovirus Infection in a Raccoon (Procyon-Lotor). Journal of Wildlife Diseases 28:113-115."
"Martina et al. 2003","Martina, B. E. E., G. Verjans, T. C. Harder, T. Kuiken, M. W. G. van de Bildt, P. A. C. van Bergen and A. Osterhaus. 2003. Seal gammaherpesviruses: Identification, characterisation and epidemiology. Virus Research 94: 25-31"
"Martinek et al. 2001a","Martinek, K., L. Kolarova, E. Hapl, I. Literak, and M. Uhrin. 2001a. Echinococcus multilocularis in European wolves (Canis lupus). Parasitology Research 87:838-839."
"Martinello et al. 1997","Martinello, F., F. Galuppo, F. Ostanello, V. Guberti, and S. Prosperi. 1997. Detection of canine parvovirus in wolves from Italy. Journal of Wildlife Diseases 33:628-631."
"Martinez-Carrasco et al. 2007","Martinez-Carrasco, C., M. R. R. de Ybanez, J. L. Sagarminaga, M. M. Garijo, F. Moreno, I. Acosta, S. Hernandez and F. D. Alonso. 2007. Parasites of the red fox (vulpes vulpes linnaeus, 1758) in murcia, southeast spain. Revue De Medecine Veterinaire 158: 331-335"
"Martinez and Palomares 1993","Martinez, I. R. and F. Palomares (1993). ""Occurrence and overlapping of pharyngeal bot flies Pharyngomyia picta and Cephenemyia auribarbis (Oestridae) in red deer of southern Spain."" Veterinary Parasitology 47(1-2): 119-127."
"Martinez et al 1999","Martinez, A., A. Salinas, et al. (1999). ""Serosurvey for selected disease agents in white-tailed deer from Mexico."" Journal of Wildlife Diseases 35(4): 799-803."
"Martino et al. 2004","Martino, P. E., J. L. Montenegro, J. A. Preziosi, C. Venturini, D. Bacigalupe, N. O. Stanchi and E. L. Bautista. 2004. Serological survey of selected pathogens of free-ranging foxes in southern argentina, 1998-2001. Revue Scientifique Et Technique-Office International Des Epizooties 23: 801-806"
"Marucci et al. 2009","Marucci, G., L. J. La Grange, G. La Rosa and E. Pozio. 2009. Trichinella nelsoni and trichinella t8 mixed infection in a lion (panthera leo) of the kruger national park (south africa). Veterinary Parasitology 159: 225-228"
"Maruyama et al 1988","Maruyama, N., Suzuki, Y and M. Sugimura (1988) Relation of Parapoxvirus infection to physical conditions in Japanese serows in Gifu Prefecture in the winter of 1984-1985. Journal of the Mammologists Society of Japan, 13: 127-132."
"Masbar et al. 1981","Masbar, S., J. R. Palmieri, H. A. Marwoto, and P. F. Darwis. 1981. Blood Parasites of Wild and Domestic Animals from South Kalimantan (Borneo), Indonesia. Southeast Asian J. Trop. Med. Pub. Hlth. 12:42- 46."
"Mason and Fleming 1999","Mason, R. J. and P. J. S. Fleming (1999). ""Serological survey for Brucella antibodies in feral pigs from eastern Australia."" Australian Veterinary Journal 77(5): 331."
"Mathews et al. 2006","Mathews, F., D. W. Macdonald, G. M. Taylor, M. Gelling, R. A. Norman, P. E. Honess, R. Foster, C. M. Gower, S. Varley, A. Harris, S. Palmer, G. Hewinson and J. P. Webster. 2006. Bovine tuberculosis (mycobacterium bovis) in british farmland wildlife: The importance to agriculture. Proceedings of the Royal Society B-Biological Sciences 273: 357-365"
"Mathias et al 1999","Mathias, L. A., Girio, R. J. S., and J. M. B. Duarte (1999) Serosurvey for antibodies against Brucella abortus and Leptospira interrogans in Pampas der from Brazil. Journal of Wildlife Diseases, 35: 112-114."
"Matjila et al. 2008","Matjila, P. T., A. L. Leisewitz, F. Jongejan, H. J. Bertschinger and B. L. Penzhorn. 2008. Molecular detection of babesia rossi and hepatozoon sp in african wild dogs (lycaon pictus) in south africa. Veterinary Parasitology 157: 123-127"
"Matoba et al. 2006","Matoba, Y., D. Yamada, M. Asano, Y. Oku, K. Kitaura, K. Yagi, F. Tenora and M. Asakawa. 2006. Parasitic helminths from feral raccoons (procyon lotor) in japan. Helminthologia 43: 139-146"
"Matsubayashi et al. 2004","Matsubayashi, M., N. Abe, K. Takami, I. Kimata, M. Iseki, T. Nakanishi, H. Tani and K. Sasai. 2004. First record of cryptosporidium infection in a raccoon dog (nyctereutes procyonoides viverrinus). Veterinary Parasitology 120: 171-175"
"Matsuura et al 2007","Matsuura, Y., Suzuki, M., Yoshimatsu, K., Arikawa, J., Takashima, I., Yokoyama, M., Ignota, H., Yamauchi, K.,  Ishida, S., Fukui, D.,  Bando, G.,  Kosuge, M., Tsunemitsu, H.,  Koshimoto, C., Sakae, K., Chikahira, M., Ogawa, S., Miyamura, T., Takeda, N., L (2007) Prevalence of antibody to hepatitis E virus among wild sika deer, Cervus nippon, in Japan. Acta Zoologica Academiae Scientiarum Hungaricae 152: 1375-1381."
"Matsuura et al 2007b","Matsuura, Y., Suzuki, M., Yoshimatsu, K., Arikawa, J., Takashima, I., Yokoyama, M., Ignota, H., Yamauchi, K.,  Ishida, S., Fukui, D.,  Bando, G.,  Kosuge, M., Tsunemitsu, H.,  Koshimoto, C., Sakae, K., Chikahira, M., Ogawa, S., Miyamura, T., Takeda, N., L (2007) Prevalence of antibody to hepatitis E virus among wild sika deer, Cervus nippon, in Japan. Archives of Virology 152: 1375-1381."
"Matthee et al 1997","Matthee, S., Meltzer, D.G.A, and I. G. Horak (1997) Sites of attachment and density assessment of ixodid ticks (Acari: Ixodidae) on impala (Aepyceros melampus). Experimental and Applied Acarology, 21: 179-192."
"Matthee et al 1998","Matthee, S., Horak, I.G., Meltzer, D.G.A, (1998) The distribution and seasonal changes of louse populations in impala Aepyceros melampus.  South African Journal of Wildlife Research, 28 (1) 22-25"
"Matthee et al 2004","Matthee, S., Krecek, R.C., McGeoch, M.A. (2004) A comparison of the intestinal helminth communities of equidae in southern Africa. Journal of Parasitology 90: 1263-1273."
"Mattiucci et al. 1998","Mattiucci, S., L. Paggi, G. Nascetti, H. Ishikura, K. Kikuchi, N. Sato, R. Cianchi et al. 1998. Allozyme and morphological identification of Anisakis, Contracaecum and Pseudoterranova from Japanese waters (Nematoda, Ascaridoidea). Systematic Parasitology 40:81-92."
"Mattiucci et al. 2003","Mattiucci, S., R. Cianchi, G. Nascetti, L. Paggi, N. Sardella, J. Timi, S. C. Webb, R. Bastida, D. Rodriguez and L. Bullini. 2003. Genetic evidence for two sibling species within contracaecum ogmorhini johnston and mawson, 1941 (nematoda : Anisakidae) from otariid seals of boreal and austral regions. Systematic Parasitology 54: 13-23"
"Matuschka et al 1993","Matuschka, F.-R., M. Heiler, et al. (1993). ""Diversionary role of hoofed game in the transmission of lyme disease spirochetes."" American Journal of Tropical Medicine and Hygiene 48(5): 693-699."
"Mavoungou et al. 2008","Mavoungou, J.F., Simo, G., Gilles, J., De Stordeur, E., Duvallet, G. (2008) Ecologie des stomoxes (Diptera, Muscidae) au Gabon. II. Origine des repas de sang et consequence epidemiologiques. Parasite 15: 611-615."
"Mayer et al 1996","Mayer, D., Nicolet, J., Giacometti, M., Schmitt, M., Wahl, T and W. Meier (1996) Isolation of Mycoplasma conjunctivae from conjunctival swabs of alpine ibex (Capra ibex ibex) affected with infectious keratoconjunctivitis. Journal of Veterinary Medicine B, 43: 155-161."
"Mayer et al. 2003","Mayer, K. A., M. D. Dailey and M. A. Miller. 2003. Helminth parasites of the southern sea otter enhydra lutris nereis in central california: Abundance, distribution and pathology. Diseases of Aquatic Organisms 53: 77-88"
"Mazet et al 1992","Mazet, J. A. K., Boyce, W. M., Mellies, J., Gardner, I. A., Clark, R. K., and D. A. Jessup (1992) Exposure to Psoroptes sp mites is common among bighorn sheep (Ovis canadensis) populations in California.  Journal of Wildlife Diseases, 28: 542-547."
"Mbehang Nguema et al. 2015","Mbehang nguema, P. P., Okubo, T., Tsuchida, S.,Fujita, S., Yamagiwa, J., Tamura, Y. and K. Ushida. 2015. Isolation of multiple drug-resistant enteric bacteria from feces of wild Western Lowland Gorilla (Gorilla gorilla gorilla) in Gabon. Journal of Veterinary Medical Science 77:619-623."
"Mbora and McPeek 2009","Mbora, D.N.M. and M.A. McPeek.  2009.  Host density and human activities mediate increased parasite prevalence and richness in primates threatened by habitat loss and fragmentation. Journal of Animal Ecology 78:210-218."
"Mbora and Munene 2006","Mbora, D. N. M. and E. Munene. 2006. Gastrointestinal parasites of critically endangered primates endemic to Tana River, Kenya: Tana River red colobus (Procolobus Rufomitratus) and crested mangabey (Cercocebus Galeritus). Journal of Parasitology 92:928-932."
"McBurney et al. 2000","McBurney, S., A. M. Veitch, and P. Y. Daoust. 2000. Bacterial valvular endocarditis in a black bear from Labrador. Journal of Wildlife Diseases 36:788-791."
"McClenahan et al. 2008","McClenahan, S. D., K. A. Burek, K. B. Beckmen, N. J. Knowles, J. D. Neill and C. H. Romero. 2008. Genomic characterization of novel marine vesiviruses from steller sea lions (eumetopias jubatus) from alaska. Virus Research 138: 26-35"
"McCollough and Pollard 1993","McCollough Mark, A. and A. Pollard Kathy (1993). ""Parelaphostrongylus tenuis in Maine moose and the possible influence of faulty Baermann procedures."" Journal of Wildlife Diseases 29(1): 156-158."
"McConnell et al. 1971","McConnell, E. E., A. J. De Vos, P. A. Basson, and V. De Vos. 1971. Isopora papionis n. sp. (Eimeriidae) of the Chacma Baboon Papio ursinus (Kerr, 1792). J. Protozool 18:28- 32."
"McConnell et al. 1972","McConnell, E. E., P. A. Basson, S. E. Thomas, and V. De Vos. 1972. Oocysts of Isospora Papionis in the Skeletal Muscles of Chacma Baboons. Onderstepoort J. vet. Res. 39:113- 116."
