VirusOriginal,VirusTaxID,VirusNCBIResolved,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,PathogenType
yersinia mollaretii,33060,TRUE,Yersinia mollaretii,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,bacteria/rickettsia
yersinia pestis,632,TRUE,Yersinia pestis,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,bacteria/rickettsia
yersinia pseudotuberculosis,633,TRUE,Yersinia pseudotuberculosis,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,bacteria/rickettsia
yersinia rohdei,29485,TRUE,Yersinia rohdei,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,bacteria/rickettsia
yersinia ruckeri,29486,TRUE,Yersinia ruckeri,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,bacteria/rickettsia
acremonium kiliense,45277,TRUE,Sarocladium kiliense,Sarocladium,Sarocladiaceae,Hypocreales,Sordariomycetes,fungi
acremonium strictum,5046,TRUE,Sarocladium strictum,Sarocladium,Sarocladiaceae,Hypocreales,Sordariomycetes,fungi
acrophialophora fusispora,391091,TRUE,Acrophialophora fusispora,Acrophialophora,Chaetomiaceae,Sordariales,Sordariomycetes,fungi
actinomadura madurae,1993,TRUE,Actinomadura madurae,Actinomadura,Thermomonosporaceae,Streptosporangiales,Actinomycetia,fungi
actinomucor elegans,64647,TRUE,Actinomucor elegans,Actinomucor,Mucoraceae,Mucorales,Mucoromycetes,fungi
ajellomyces capsulatus,5037,TRUE,Histoplasma capsulatum,Histoplasma,Ajellomycetaceae,Onygenales,Eurotiomycetes,fungi
ajellomyces dermatitidis,5039,TRUE,Blastomyces dermatitidis,Blastomyces,Ajellomycetaceae,Onygenales,Eurotiomycetes,fungi
alternaria alternata,5599,TRUE,Alternaria alternata,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
alternaria triticina,216836,TRUE,Alternaria triticina,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
anncaliia algerae,723287,TRUE,Anncaliia algerae,Anncaliia,Tubulinosematidae,NA,NA,fungi
aphanoascus terreus,121129,TRUE,Keratinophyton terreum,Keratinophyton,Onygenaceae,Onygenales,Eurotiomycetes,fungi
apophysomyces elegans,90269,TRUE,Apophysomyces elegans,Apophysomyces,Mucoraceae,Mucorales,Mucoromycetes,fungi
arachniotus littoralis,166392,TRUE,Gymnascella littoralis,Gymnascella,Gymnoascaceae,Onygenales,Eurotiomycetes,fungi
arachnomyces nodosetosus,130043,TRUE,Arachnomyces nodosetosus,Arachnomyces,Arachnomycetaceae,Onygenales,Eurotiomycetes,fungi
arthroderma benhamiae,63400,TRUE,Trichophyton benhamiae,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,fungi
arthroderma fulvum,63401,TRUE,Nannizzia fulva,Nannizzia,Arthrodermataceae,Onygenales,Eurotiomycetes,fungi
arthroderma grubyi,1916091,TRUE,Lophophyton gallinae,Lophophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,fungi
arthroderma obtusum,119676,TRUE,Nannizzia nana,Nannizzia,Arthrodermataceae,Onygenales,Eurotiomycetes,fungi
arthroderma otae,63405,TRUE,Microsporum canis,Microsporum,Arthrodermataceae,Onygenales,Eurotiomycetes,fungi
arthroderma simii,63406,TRUE,Trichophyton simii,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,fungi
arthroderma uncinatum,74035,TRUE,Arthroderma uncinatum,Arthroderma,Arthrodermataceae,Onygenales,Eurotiomycetes,fungi
arthroderma vanbreuseghemii,523103,TRUE,Trichophyton mentagrophytes,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,fungi
arthrographis kalrae,241728,TRUE,Arthrographis kalrae,Arthrographis,Eremomycetaceae,Eremomycetales,Dothideomycetes,fungi
asordaria tenerifae,325663,TRUE,Sordaria tenerifae,Sordaria,Sordariaceae,Sordariales,Sordariomycetes,fungi
aspergillus aculeatinus,487661,TRUE,Aspergillus aculeatinus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus awamori,105351,TRUE,Aspergillus awamori,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus calidoustus,454130,TRUE,Aspergillus calidoustus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus candidus,41067,TRUE,Aspergillus candidus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus carbonarius,40993,TRUE,Aspergillus carbonarius,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus clavatus,5057,TRUE,Aspergillus clavatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus crystallinus,69804,TRUE,Penicillium crystallinum,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus flavipes,41900,TRUE,Aspergillus flavipes,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus flavus,5059,TRUE,Aspergillus flavus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus fumigatus,746128,TRUE,Aspergillus fumigatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus glaucus,41413,TRUE,Aspergillus glaucus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus granulosus,176169,TRUE,Aspergillus granulosus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus insuetus,469274,TRUE,Aspergillus insuetus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus insulicola,138276,TRUE,Aspergillus insulicola,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus kanagawaensis,41751,TRUE,Aspergillus kanagawaensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus lentulus,293939,TRUE,Aspergillus lentulus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus niger,5061,TRUE,Aspergillus niger,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus novofumigatus,340412,TRUE,Aspergillus novofumigatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus ochraceus,40380,TRUE,Aspergillus ochraceus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus oryzae,5062,TRUE,Aspergillus oryzae,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus penicillioides,41959,TRUE,Aspergillus penicillioides,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus persii,306094,TRUE,Aspergillus persii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus sydowii,75750,TRUE,Aspergillus sydowii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus tamarii,41984,TRUE,Aspergillus tamarii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus terreus,33178,TRUE,Aspergillus terreus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus tritici,478866,TRUE,Aspergillus tritici,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus tubingensis,5068,TRUE,Aspergillus tubingensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus unguis,40381,TRUE,Aspergillus unguis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus ustus,40382,TRUE,Aspergillus ustus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus versicolor,46472,TRUE,Aspergillus versicolor,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus viridinutans,75553,TRUE,Aspergillus viridinutans,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus wentii,5066,TRUE,Aspergillus wentii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aspergillus westerdijkiae,357447,TRUE,Aspergillus westerdijkiae,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
aureobasidium pullulans,5580,TRUE,Aureobasidium pullulans,Aureobasidium,Saccotheciaceae,Dothideales,Dothideomycetes,fungi
auxarthron umbrinum,203537,TRUE,Auxarthron umbrinum,Auxarthron,Onygenaceae,Onygenales,Eurotiomycetes,fungi
basidiobolus haptosporus,90248,TRUE,Basidiobolus haptosporus,Basidiobolus,Basidiobolaceae,Basidiobolales,Basidiobolomycetes,fungi
basidiobolus ranarum,34480,TRUE,Basidiobolus ranarum,Basidiobolus,Basidiobolaceae,Basidiobolales,Basidiobolomycetes,fungi
batrachochytrium dendrobatidis,109871,TRUE,Batrachochytrium dendrobatidis,Batrachochytrium,NA,Rhizophydiales,Chytridiomycetes,fungi
beauveria bassiana,176275,TRUE,Beauveria bassiana,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,fungi
botryomyces caespitosus,1342384,TRUE,Alternaria caespitosa,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
botryosphaeria dothidea,55169,TRUE,Botryosphaeria dothidea,Botryosphaeria,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,fungi
botryosphaeria rhodina,45133,TRUE,Lasiodiplodia theobromae,Lasiodiplodia,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,fungi
caecomyces communis,4824,TRUE,Caecomyces communis,Caecomyces,Neocallimastigaceae,Neocallimastigales,Neocallimastigomycetes,fungi
calyptrozyma arxii,89418,TRUE,Calyptrozyma arxii,Calyptrozyma,NA,NA,NA,fungi
candida aaseri,45518,TRUE,[Candida] aaseri,Yamadazyma,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida albicans,5476,TRUE,Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida bracarensis,273131,TRUE,[Candida] bracarensis,Nakaseomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida catenulata,45537,TRUE,Diutina catenulata,Diutina,NA,Saccharomycetales,Saccharomycetes,fungi
candida dubliniensis,42374,TRUE,Candida dubliniensis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida ethanolica,52256,TRUE,[Candida] ethanolica,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,fungi
candida famata,4959,TRUE,Debaryomyces hansenii,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida galli,197054,TRUE,Yarrowia galli,Yarrowia,Dipodascaceae,Saccharomycetales,Saccharomycetes,fungi
candida glabrata,5478,TRUE,[Candida] glabrata,Nakaseomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida humilis,51915,TRUE,Kazachstania humilis,Kazachstania,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida inconspicua,52247,TRUE,[Candida] inconspicua,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,fungi
candida intermedia,45354,TRUE,[Candida] intermedia,Clavispora,Metschnikowiaceae,Saccharomycetales,Saccharomycetes,fungi
candida kruisii,45561,TRUE,Teunomyces kruisii,Teunomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida membranifaciens,45567,TRUE,[Candida] membranifaciens,Yamadazyma,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida metapsilosis,273372,TRUE,Candida metapsilosis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida nivariensis,418086,TRUE,[Candida] nivariensis,Nakaseomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida orthopsilosis,273371,TRUE,Candida orthopsilosis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida palmioleophila,45574,TRUE,[Candida] palmioleophila,NA,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida parapsilosis,5480,TRUE,Candida parapsilosis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida pseudoglaebosa,52255,TRUE,[Candida] pseudoglaebosa,NA,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida rugosa,5481,TRUE,Diutina rugosa,Diutina,NA,Saccharomycetales,Saccharomycetes,fungi
candida tropicalis,5482,TRUE,Candida tropicalis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
candida zeylanoides,5493,TRUE,[Candida] zeylanoides,Kurtzmaniella,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
capronia semiimmersa,5601,TRUE,Phialophora americana,Phialophora,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,fungi
catenulostroma abietis,1434218,TRUE,Neocatenulostroma abietis,Neocatenulostroma,Teratosphaeriaceae,Mycosphaerellales,Dothideomycetes,fungi
catenulostroma chromoblastomycosum,470132,TRUE,Catenulostroma chromoblastomycosum,Catenulostroma,Teratosphaeriaceae,Mycosphaerellales,Dothideomycetes,fungi
cephalotheca foveolata,273648,TRUE,Cephalotheca foveolata,Cephalotheca,Cephalothecaceae,Sordariales,Sordariomycetes,fungi
ceriporia lacerata,194684,TRUE,Emmia lacerata,Emmia,Irpicaceae,Polyporales,Agaricomycetes,fungi
chaetomidium arxii,669017,TRUE,Trichocladium arxii,Trichocladium,Chaetomiaceae,Sordariales,Sordariomycetes,fungi
chaetomidium cephalothecoides,669018,TRUE,Chaetomidium cephalothecoides,Chaetomidium,Chaetomiaceae,Sordariales,Sordariomycetes,fungi
chaetomidium trichorobustum,669025,TRUE,Chaetomidium trichorobustum,Chaetomidium,Chaetomiaceae,Sordariales,Sordariomycetes,fungi
chaetomium atrobrunneum,1934350,TRUE,Amesia atrobrunnea,Amesia,Chaetomiaceae,Sordariales,Sordariomycetes,fungi
chaetomium brasiliense,1934393,TRUE,Ovatospora brasiliensis,Ovatospora,Chaetomiaceae,Sordariales,Sordariomycetes,fungi
chaetomium globosum,38033,TRUE,Chaetomium globosum,Chaetomium,Chaetomiaceae,Sordariales,Sordariomycetes,fungi
chalastospora gossypii,652027,TRUE,Alternaria malorum,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
chrysosporium guarroi,1254449,TRUE,Nannizziopsis guarroi,Nannizziopsis,Nannizziopsiaceae,Onygenales,Eurotiomycetes,fungi
chrysosporium synchronum,108929,TRUE,[Chrysosporium] synchronum,NA,NA,Sordariales,Sordariomycetes,fungi
cladophialophora bantiana,89940,TRUE,Cladophialophora bantiana,Cladophialophora,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,fungi
cladophialophora carrionii,86049,TRUE,Cladophialophora carrionii,Cladophialophora,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,fungi
cladophialophora devriesii,82107,TRUE,Cladophialophora devriesii,Cladophialophora,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,fungi
cladorrhinum bulbillosum,2587404,TRUE,Podospora bulbillosa,Podospora,Chaetomiaceae,Sordariales,Sordariomycetes,fungi
cladosporium bruhnei,450181,TRUE,Cladosporium bruhnei,Cladosporium,Cladosporiaceae,Cladosporiales,Dothideomycetes,fungi
cladosporium cladosporioides,29917,TRUE,Cladosporium cladosporioides,Cladosporium,Cladosporiaceae,Cladosporiales,Dothideomycetes,fungi
cladosporium cucumerinum,166633,TRUE,Cladosporium cucumerinum,Cladosporium,Cladosporiaceae,Cladosporiales,Dothideomycetes,fungi
cladosporium oxysporum,29919,TRUE,Cladosporium oxysporum,Cladosporium,Cladosporiaceae,Cladosporiales,Dothideomycetes,fungi
cladosporium sphaerospermum,92950,TRUE,Cladosporium sphaerospermum,Cladosporium,Cladosporiaceae,Cladosporiales,Dothideomycetes,fungi
cladosporium velox,891392,TRUE,Cladosporium velox,Cladosporium,Cladosporiaceae,Cladosporiales,Dothideomycetes,fungi
clavispora lusitaniae,36911,TRUE,Clavispora lusitaniae,Clavispora,Metschnikowiaceae,Saccharomycetales,Saccharomycetes,fungi
coccidioides immitis,5501,TRUE,Coccidioides immitis,Coccidioides,NA,Onygenales,Eurotiomycetes,fungi
coccidioides posadasii,199306,TRUE,Coccidioides posadasii,Coccidioides,NA,Onygenales,Eurotiomycetes,fungi
cochliobolus australiensis,1325487,TRUE,Curvularia tsudae,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
cochliobolus cynodontis,74411,TRUE,Bipolaris cynodontis,Bipolaris,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
cochliobolus geniculatus,418126,TRUE,Curvularia geniculata,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
cochliobolus hawaiiensis,1230527,TRUE,Curvularia hawaiiensis,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
cochliobolus lunatus,5503,TRUE,Curvularia lunata,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
cochliobolus spicifer,145392,TRUE,Curvularia spicifera,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
cochliobolus verruculosus,95740,TRUE,Curvularia verruculosa,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
cokeromyces recurvatus,90255,TRUE,Cokeromyces recurvatus,Cokeromyces,Mucoraceae,Mucorales,Mucoromycetes,fungi
colletotrichum dematium,34405,TRUE,Colletotrichum dematium,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,fungi
colletotrichum gloeosporioides,474922,TRUE,Colletotrichum gloeosporioides,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,fungi
colletotrichum truncatum,5467,TRUE,Colletotrichum truncatum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,fungi
conidiobolus coronatus,34488,TRUE,Conidiobolus coronatus,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,fungi
conidiobolus incongruus,90249,TRUE,Conidiobolus incongruus,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,fungi
conidiobolus lamprauges,90250,TRUE,Conidiobolus lamprauges,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes,fungi
coprinellus domesticus,71704,TRUE,Coprinellus domesticus,Coprinellus,Psathyrellaceae,Agaricales,Agaricomycetes,fungi
coprinellus micaceus,71717,TRUE,Coprinellus micaceus,Coprinellus,Psathyrellaceae,Agaricales,Agaricomycetes,fungi
coprinopsis cinerea,5346,TRUE,Coprinopsis cinerea,Coprinopsis,Psathyrellaceae,Agaricales,Agaricomycetes,fungi
cordyceps bassiana,176275,TRUE,Beauveria bassiana,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,fungi
cryptendoxyla hypophloia,64883,TRUE,Cryptendoxyla hypophloia,Cryptendoxyla,Cephalothecaceae,Sordariales,Sordariomycetes,fungi
cryptococcus curvatus,57679,TRUE,Cutaneotrichosporon curvatum,Cutaneotrichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes,fungi
cryptococcus gattii,37769,TRUE,Cryptococcus gattii VGI,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,fungi
cryptococcus laurentii,5418,TRUE,Papiliotrema laurentii,Papiliotrema,Rhynchogastremataceae,Tremellales,Tremellomycetes,fungi
cryptococcus neoformans,5207,TRUE,Cryptococcus neoformans,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,fungi
cunninghamella bertholletiae,90251,TRUE,Cunninghamella bertholletiae,Cunninghamella,Cunninghamellaceae,Mucorales,Mucoromycetes,fungi
curvularia lunata,5503,TRUE,Curvularia lunata,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,fungi
cyberlindnera jadinii,4903,TRUE,Cyberlindnera jadinii,Cyberlindnera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,fungi
cylindrocladiella peruviana,147881,TRUE,Cylindrocladiella peruviana,Cylindrocladiella,Nectriaceae,Hypocreales,Sordariomycetes,fungi
cyllamyces aberensis,324620,TRUE,Cyllamyces aberensis,Cyllamyces,Neocallimastigaceae,Neocallimastigales,Neocallimastigomycetes,fungi
cyphellophora laciniata,241713,TRUE,Cyphellophora laciniata,Cyphellophora,Cyphellophoraceae,Chaetothyriales,Eurotiomycetes,fungi
debaryomyces fabryi,58627,TRUE,Debaryomyces fabryi,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
debaryomyces hansenii,4959,TRUE,Debaryomyces hansenii,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
debaryomyces subglobosus,522693,TRUE,Debaryomyces subglobosus,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
dipodascus capitatus,1095183,TRUE,Magnusiomyces capitatus,Magnusiomyces,Dipodascaceae,Saccharomycetales,Saccharomycetes,fungi
doratomyces stemonitis,186354,TRUE,Cephalotrichum stemonitis,Cephalotrichum,Microascaceae,Microascales,Sordariomycetes,fungi
emericella nidulans,162425,TRUE,Aspergillus nidulans,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
emericella quadrilineata,41735,TRUE,Aspergillus quadrilineatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
emericella rugulosa,41736,TRUE,Aspergillus rugulosus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
emmonsia crescens,73230,TRUE,Emmonsia crescens,Emmonsia,Ajellomycetaceae,Onygenales,Eurotiomycetes,fungi
emmonsia parva,2060905,TRUE,Blastomyces parvus,Blastomyces,Ajellomycetaceae,Onygenales,Eurotiomycetes,fungi
encephalitozoon cuniculi,6035,TRUE,Encephalitozoon cuniculi,Encephalitozoon,Unikaryonidae,NA,NA,fungi
encephalitozoon hellem,27973,TRUE,Encephalitozoon hellem,Encephalitozoon,Unikaryonidae,NA,NA,fungi
encephalitozoon intestinalis,58839,TRUE,Encephalitozoon intestinalis,Encephalitozoon,Unikaryonidae,NA,NA,fungi
engyodontium album,37998,TRUE,Parengyodontium album,Parengyodontium,Cordycipitaceae,Hypocreales,Sordariomycetes,fungi
enterocytozoon bieneusi,31281,TRUE,Enterocytozoon bieneusi,Enterocytozoon,Enterocytozoonidae,NA,NA,fungi
epicoccum nigrum,105696,TRUE,Epicoccum nigrum,Epicoccum,Didymellaceae,Pleosporales,Dothideomycetes,fungi
epidermophyton floccosum,34391,TRUE,Epidermophyton floccosum,Epidermophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,fungi
eurotium amstelodami,5054,TRUE,Aspergillus amstelodami,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,fungi
exophiala dermatitidis,5970,TRUE,Exophiala dermatitidis,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,fungi
exophiala jeanselmei,5584,TRUE,Exophiala jeanselmei,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,fungi
exophiala phaeomuriformis,406760,TRUE,Exophiala phaeomuriformis,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,fungi
exophiala spinifera,91928,TRUE,Exophiala spinifera,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,fungi
exophiala xenobiotica,348802,TRUE,Exophiala xenobiotica,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,fungi
fonsecaea monophora,254056,TRUE,Fonsecaea monophora,Fonsecaea,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,fungi
fonsecaea pedrosoi,40355,TRUE,Fonsecaea pedrosoi,Fonsecaea,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,fungi
fusarium chlamydosporum,86545,TRUE,Fusarium chlamydosporum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
fusarium falciforme,195108,TRUE,Fusarium falciforme,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
fusarium incarnatum,298378,TRUE,Fusarium incarnatum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
fusarium napiforme,42672,TRUE,Fusarium napiforme,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
fusarium oxysporum,5507,TRUE,Fusarium oxysporum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
fusarium polyphialidicum,44410,TRUE,Fusarium polyphialidicum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
fusarium proliferatum,948311,TRUE,Fusarium proliferatum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
fusarium sacchari,42676,TRUE,Fusarium sacchari,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
fusarium solani,169388,TRUE,Fusarium solani,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
fusarium subglutinans,42677,TRUE,Fusarium subglutinans,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
fusarium verticillioides,117187,TRUE,Fusarium verticillioides,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
gelasinospora cratophora,303343,TRUE,Gelasinospora cratophora,Gelasinospora,Sordariaceae,Sordariales,Sordariomycetes,fungi
geomyces destructans,655981,TRUE,Pseudogymnoascus destructans,Pseudogymnoascus,Pseudeurotiaceae,NA,Leotiomycetes,fungi
geosmithia argillacea,69808,TRUE,Rasamsonia argillacea,Rasamsonia,Trichocomaceae,Eurotiales,Eurotiomycetes,fungi
gibberella intermedia,948311,TRUE,Fusarium proliferatum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
gibberella moniliformis,117187,TRUE,Fusarium verticillioides,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,fungi
glugea anomala,73782,TRUE,Glugea anomala,Glugea,Glugeidae,NA,NA,fungi
glugea hertwigi,747077,TRUE,Glugea hertwigi,Glugea,Glugeidae,NA,NA,fungi
glugea plecoglossi,40978,TRUE,Glugea plecoglossi,Glugea,Glugeidae,NA,NA,fungi
glugea stephani,75296,TRUE,Glugea stephani,Glugea,Glugeidae,NA,NA,fungi
graphium basitruncatum,118975,TRUE,Graphium basitruncatum,Graphium,Graphiaceae,Microascales,Sordariomycetes,fungi
heterosporis anguillarum,184033,TRUE,Heterosporis anguillarum,Heterosporis,Pleistophoridae,NA,NA,fungi
hortaea werneckii,91943,TRUE,Hortaea werneckii,Hortaea,Teratosphaeriaceae,Mycosphaerellales,Dothideomycetes,fungi
hyphopichia burtonii,717740,TRUE,Hyphopichia burtonii,Hyphopichia,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,fungi
inonotus tropicalis,1660027,TRUE,Tropicoporus tropicalis,Tropicoporus,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,fungi
kabatana newberryi,420887,TRUE,Kabatana newberryi,Kabatana,NA,NA,NA,fungi
kluyveromyces marxianus,4911,TRUE,Kluyveromyces marxianus,Kluyveromyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,fungi
lacazia loboi,121752,TRUE,Lacazia loboi,Lacazia,NA,Onygenales,Eurotiomycetes,fungi
lasiodiplodia theobromae,45133,TRUE,Lasiodiplodia theobromae,Lasiodiplodia,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,fungi
lecythophora hoffmannii,91930,TRUE,Coniochaeta hoffmannii,Coniochaeta,Coniochaetaceae,Coniochaetales,Sordariomycetes,fungi
lecythophora lignicola,177205,TRUE,Coniochaeta lignicola,Coniochaeta,Coniochaetaceae,Coniochaetales,Sordariomycetes,fungi
lecythophora mutabilis,177207,TRUE,Coniochaeta mutabilis,Coniochaeta,Coniochaetaceae,Coniochaetales,Sordariomycetes,fungi
