VirusOriginal,VirusTaxID,VirusNCBIResolved,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass
omsk hemorrhagic fever virus,12542,TRUE,Omsk hemorrhagic fever virus,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
onchocerca volvulus,6282,TRUE,Onchocerca volvulus,Onchocerca,Onchocercidae,Rhabditida,Chromadorea
ophiostoma stenoceras,5173,TRUE,Sporothrix stenoceras,Sporothrix,Ophiostomataceae,Ophiostomatales,Sordariomycetes
oriboca virus,1934100,TRUE,Oriboca orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
oropouche virus,1933309,TRUE,Oropouche orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
paecilomyces lilacinus,33203,TRUE,Purpureocillium lilacinum,Purpureocillium,Ophiocordycipitaceae,Hypocreales,Sordariomycetes
paecilomyces variotii,264951,TRUE,Byssochlamys spectabilis,Byssochlamys,Thermoascaceae,Eurotiales,Eurotiomycetes
paenibacillus alvei,44250,TRUE,Paenibacillus alvei,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli
parabacteroides distasonis,823,TRUE,Parabacteroides distasonis,Parabacteroides,Tannerellaceae,Bacteroidales,Bacteroidia
parabacteroides merdae,46503,TRUE,Parabacteroides merdae,Parabacteroides,Tannerellaceae,Bacteroidales,Bacteroidia
paracoccus yeei,147645,TRUE,Paracoccus yeei,Paracoccus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria
paragonimus africanus,434055,TRUE,Paragonimus africanus,Paragonimus,Troglotrematidae,Plagiorchiida,Trematoda
paragonimus miyazakii,59628,TRUE,Paragonimus miyazakii,Paragonimus,Troglotrematidae,Plagiorchiida,Trematoda
paragonimus uterobilateralis,NA,FALSE,paragonimus uterobilateralis,NA,NA,NA,NA
parastrongylus cantonensis,NA,FALSE,parastrongylus cantonensis,NA,NA,NA,NA
penicillium decumbens,69771,TRUE,Penicillium decumbens,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes
penicillium griseofulvum,5078,TRUE,Penicillium griseofulvum,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes
penicillium marneffei,37727,TRUE,Talaromyces marneffei,Talaromyces,Trichocomaceae,Eurotiales,Eurotiomycetes
penicillium purpurogenum,1266744,TRUE,Talaromyces purpureogenus,Talaromyces,Trichocomaceae,Eurotiales,Eurotiomycetes
phaneropsolus bonnei,NA,FALSE,phaneropsolus bonnei,NA,NA,NA,NA
phialophora verrucosa,39412,TRUE,Phialophora verrucosa,Phialophora,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes
plagiorchis muris,84105,TRUE,Plagiorchis muris,Plagiorchis,Plagiorchiidae,Plagiorchiida,Trematoda
plasmodium knowlesi,5850,TRUE,Plasmodium knowlesi,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
plasmodium malariae,5858,TRUE,Plasmodium malariae,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
plasmodium ovale,36330,TRUE,Plasmodium ovale,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
plasmodium simium,5859,TRUE,Plasmodium simium,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
plasmodium vivax,5855,TRUE,Plasmodium vivax,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
pneumocystis jirovecii,42068,TRUE,Pneumocystis jirovecii,Pneumocystis,Pneumocystidaceae,Pneumocystidales,Pneumocystidomycetes
porphyromonas catoniae,41976,TRUE,Porphyromonas catoniae,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia
porphyromonas endodontalis,28124,TRUE,Porphyromonas endodontalis,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia
powassan virus,11083,TRUE,Powassan virus,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
prevotella buccae,28126,TRUE,Prevotella buccae,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
prevotella denticola,28129,TRUE,Prevotella denticola,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
prevotella intermedia,28131,TRUE,Prevotella intermedia,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
prevotella loescheii,840,TRUE,Prevotella loescheii,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
prevotella marshii,189722,TRUE,Prevotella marshii,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
prevotella melaninogenica,28132,TRUE,Prevotella melaninogenica,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
prevotella nigrescens,28133,TRUE,Prevotella nigrescens,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
prevotella oralis,28134,TRUE,Prevotella oralis,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
prevotella oris,28135,TRUE,Prevotella oris,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
prevotella salivae,228604,TRUE,Prevotella salivae,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
primate t-lymphotropic virus 2,194441,TRUE,Primate T-lymphotropic virus 2,Deltaretrovirus,Retroviridae,Ortervirales,Revtraviricetes
primate t-lymphotropic virus 3,194443,TRUE,Primate T-lymphotropic virus 3,Deltaretrovirus,Retroviridae,Ortervirales,Revtraviricetes
propionibacterium avidum,33010,TRUE,Cutibacterium avidum,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetia
propionibacterium granulosum,NA,FALSE,propionibacterium granulosum,NA,NA,NA,NA
propionibacterium propionicum,NA,FALSE,propionibacterium propionicum,NA,NA,NA,NA
prosthodendrium molenkampi,NA,FALSE,prosthodendrium molenkampi,NA,NA,NA,NA
prototheca wickerhamii,3111,TRUE,Prototheca wickerhamii,Prototheca,Chlorellaceae,Chlorellales,Trebouxiophyceae
providencia stuartii,588,TRUE,Providencia stuartii,Providencia,Morganellaceae,Enterobacterales,Gammaproteobacteria
pseudomonas oryzihabitans,47885,TRUE,Pseudomonas oryzihabitans,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria
pseudoramibacter alactolyticus,113287,TRUE,Pseudoramibacter alactolyticus,Pseudoramibacter,Eubacteriaceae,Eubacteriales,Clostridia
psychrobacter faecalis,180588,TRUE,Psychrobacter faecalis,Psychrobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
puumala virus,1980486,TRUE,Puumala orthohantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
pygidiopsis summa,104472,TRUE,Pygidiopsis summa,Pygidiopsis,Heterophyidae,Opisthorchiida,Trematoda
ralstonia pickettii,329,TRUE,Ralstonia pickettii,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria
rhizopus stolonifer,4846,TRUE,Rhizopus stolonifer,Rhizopus,Rhizopodaceae,Mucorales,Mucoromycetes
rhodococcus rhodochrous,1829,TRUE,Rhodococcus rhodochrous,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinomycetia
rhodotorula mucilaginosa,5537,TRUE,Rhodotorula mucilaginosa,Rhodotorula,Sporidiobolaceae,Sporidiobolales,Microbotryomycetes
rickettsia africae,35788,TRUE,Rickettsia africae,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria
rickettsia australis,787,TRUE,Rickettsia australis,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria
rickettsia japonica,35790,TRUE,Rickettsia japonica,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria
rickettsia massiliae,35791,TRUE,Rickettsia massiliae,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria
rickettsia monacensis,109232,TRUE,Rickettsia monacensis,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria
rickettsia sibirica,35793,TRUE,Rickettsia sibirica,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria
roseburia intestinalis,166486,TRUE,Roseburia intestinalis,Roseburia,Lachnospiraceae,Eubacteriales,Clostridia
roseburia inulinivorans,360807,TRUE,Roseburia inulinivorans,Roseburia,Lachnospiraceae,Eubacteriales,Clostridia
rothia dentocariosa,2047,TRUE,Rothia dentocariosa,Rothia,Micrococcaceae,Micrococcales,Actinomycetia
rubella virus,11041,TRUE,Rubella virus,Rubivirus,Matonaviridae,Hepelivirales,Alsuviricetes
ruminococcus gnavus,33038,TRUE,[Ruminococcus] gnavus,Mediterraneibacter,Lachnospiraceae,Eubacteriales,Clostridia
saccharomyces boulardii,252598,TRUE,Saccharomyces boulardii (nom. inval.),Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes
saimiriine herpesvirus 1,10353,TRUE,Saimiriine alphaherpesvirus 1,Simplexvirus,Herpesviridae,Herpesvirales,Herviviricetes
saksenaea vasiformis,90258,TRUE,Saksenaea vasiformis,Saksenaea,Saksenaeaceae,Mucorales,Mucoromycetes
sandfly fever naples virus,2747931,TRUE,Naples phlebovirus,Phlebovirus,Phenuiviridae,Bunyavirales,Ellioviricetes
sandfly fever sicilian virus,2734473,TRUE,Sicilian phlebovirus,Phlebovirus,Phenuiviridae,Bunyavirales,Ellioviricetes
scedosporium apiospermum,563466,TRUE,Scedosporium apiospermum,Scedosporium,Microascaceae,Microascales,Sordariomycetes
scedosporium aurantiacum,315946,TRUE,Scedosporium aurantiacum,Scedosporium,Microascaceae,Microascales,Sordariomycetes
scedosporium prolificans,41688,TRUE,Lomentospora prolificans,Lomentospora,Microascaceae,Microascales,Sordariomycetes
schistosoma haematobium,6185,TRUE,Schistosoma haematobium,Schistosoma,Schistosomatidae,Strigeidida,Trematoda
schistosoma intercalatum,6187,TRUE,Schistosoma intercalatum,Schistosoma,Schistosomatidae,Strigeidida,Trematoda
schistosoma mekongi,38744,TRUE,Schistosoma mekongi,Schistosoma,Schistosomatidae,Strigeidida,Trematoda
schizophyllum commune,5334,TRUE,Schizophyllum commune,Schizophyllum,Schizophyllaceae,Agaricales,Agaricomycetes
scopulariopsis brevicaulis,561152,TRUE,Scopulariopsis brevicaulis,Scopulariopsis,Microascaceae,Microascales,Sordariomycetes
scytalidium hyalinum,1451147,TRUE,Neoscytalidium hyalinum,Neoscytalidium,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes
semliki forest virus,11033,TRUE,Semliki Forest virus,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
serratia liquefaciens,614,TRUE,Serratia liquefaciens,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
shigella dysenteriae,622,TRUE,Shigella dysenteriae,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
shigella sonnei,624,TRUE,Shigella sonnei,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
simian foamy virus,11642,TRUE,Simian foamy virus,Spumavirus,Retroviridae,Ortervirales,Revtraviricetes
simian virus 40,1891767,TRUE,Macaca mulatta polyomavirus 1,Betapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
sin nombre virus,1980491,TRUE,Sin Nombre orthohantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
slackia exigua,84109,TRUE,Slackia exigua,Slackia,Eggerthellaceae,Eggerthellales,Coriobacteriia
sphingomonas paucimobilis,13689,TRUE,Sphingomonas paucimobilis,Sphingomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria
spirillum minus,NA,FALSE,spirillum minus,NA,NA,NA,NA
staphylococcus caprae,29380,TRUE,Staphylococcus caprae,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli
staphylococcus succinus,61015,TRUE,Staphylococcus succinus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli
stictodora fuscata,NA,FALSE,stictodora fuscata,NA,NA,NA,NA
streptococcus anginosus,1328,TRUE,Streptococcus anginosus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus constellatus,76860,TRUE,Streptococcus constellatus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus cristatus,45634,TRUE,Streptococcus cristatus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus gordonii,1302,TRUE,Streptococcus gordonii,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus intermedius,1338,TRUE,Streptococcus intermedius,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus milleri,33040,TRUE,Streptococcus milleri,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus mitis,28037,TRUE,Streptococcus mitis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus mutans,1309,TRUE,Streptococcus mutans,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus oralis,1303,TRUE,Streptococcus oralis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus parasanguinis,1318,TRUE,Streptococcus parasanguinis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus sanguinis,1305,TRUE,Streptococcus sanguinis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus sobrinus,1310,TRUE,Streptococcus sobrinus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
strongyloides fuelleborni,44441,TRUE,Strongyloides fuelleborni,Strongyloides,Strongyloididae,Rhabditida,Chromadorea
sudan ebolavirus,186540,TRUE,Sudan ebolavirus,Ebolavirus,Filoviridae,Mononegavirales,Monjiviricetes
taenia asiatica,60517,TRUE,Taenia asiatica,Taenia,Taeniidae,Cyclophyllidea,Cestoda
tai forest ebolavirus,186541,TRUE,Tai Forest ebolavirus,Ebolavirus,Filoviridae,Mononegavirales,Monjiviricetes
tannerella forsythia,28112,TRUE,Tannerella forsythia,Tannerella,Tannerellaceae,Bacteroidales,Bacteroidia
tatlockia micdadei,451,TRUE,Tatlockia micdadei,Tatlockia,Legionellaceae,Legionellales,Gammaproteobacteria
ternidens deminutus,317882,TRUE,Ternidens deminutus,Ternidens,Chabertiidae,Strongylida,Chromadorea
thogoto virus,11569,TRUE,Thogoto thogotovirus,Thogotovirus,Orthomyxoviridae,Articulavirales,Insthoviricetes
trachipleistophora hominis,72359,TRUE,Trachipleistophora hominis,Trachipleistophora,Pleistophoridae,NA,NA
treponema carateum,NA,FALSE,treponema carateum,NA,NA,NA,NA
treponema maltophilum,51160,TRUE,Treponema maltophilum,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia
treponema pallidum,160,TRUE,Treponema pallidum,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia
treponema vincentii,69710,TRUE,Treponema vincentii,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia
trichinella nelsoni,6336,TRUE,Trichinella nelsoni,Trichinella,Trichinellidae,Trichinellida,Enoplea
trichobilharzia ocellata,100602,TRUE,Trichobilharzia ocellata,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
trichomonas tenax,43075,TRUE,Trichomonas tenax,Trichomonas,Trichomonadidae,Trichomonadida,NA
trichomonas vaginalis,5722,TRUE,Trichomonas vaginalis,Trichomonas,Trichomonadidae,Trichomonadida,NA
trichophyton concentricum,63419,TRUE,Trichophyton concentricum,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes
trichophyton schoenleinii,34386,TRUE,Trichophyton schoenleinii,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes
trichophyton soudanense,69891,TRUE,Trichophyton soudanense,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes
trichophyton tonsurans,34387,TRUE,Trichophyton tonsurans,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes
trichophyton violaceum,34388,TRUE,Trichophyton violaceum,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes
trichosporon asahii,82508,TRUE,Trichosporon asahii,Trichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes
trichosporon beigelii,5553,TRUE,Trichosporon beigelii,Trichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes
trichosporon cutaneum,5554,TRUE,Cutaneotrichosporon cutaneum,Cutaneotrichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes
trichosporon faecale,82510,TRUE,Trichosporon faecale,Trichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes
trichosporon inkin,82517,TRUE,Trichosporon inkin,Trichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes
trichosporon mucoides,82522,TRUE,Cutaneotrichosporon mucoides,Cutaneotrichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes
trichostrongylus orientalis,NA,FALSE,trichostrongylus orientalis,NA,NA,NA,NA
tropheryma whipplei,2039,TRUE,Tropheryma whipplei,Tropheryma,Tropherymataceae,Micrococcales,Actinomycetia
trypanosoma rangeli,5698,TRUE,Trypanosoma rangeli,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
ureaplasma urealyticum,2130,TRUE,Ureaplasma urealyticum,Ureaplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
variola virus,10255,TRUE,Variola virus,Orthopoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
veillonella atypica,39777,TRUE,Veillonella atypica,Veillonella,Veillonellaceae,Veillonellales,Negativicutes
veillonella dispar,39778,TRUE,Veillonella dispar,Veillonella,Veillonellaceae,Veillonellales,Negativicutes
vibrio fluvialis,676,TRUE,Vibrio fluvialis,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
vibrio furnissii,29494,TRUE,Vibrio furnissii,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
vittaforma corneae,42399,TRUE,Vittaforma corneae,Vittaforma,Nosematidae,NA,NA
weissella cibaria,137591,TRUE,Weissella cibaria,Weissella,Lactobacillaceae,Lactobacillales,Bacilli
weissella confusa,1583,TRUE,Weissella confusa,Weissella,Lactobacillaceae,Lactobacillales,Bacilli
wickerhamomyces anomalus,4927,TRUE,Wickerhamomyces anomalus,Wickerhamomyces,Phaffomycetaceae,Saccharomycetales,Saccharomycetes
yaba monkey tumor virus,38804,TRUE,Yaba monkey tumor virus,Yatapoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
yarrowia lipolytica,4952,TRUE,Yarrowia lipolytica,Yarrowia,Dipodascaceae,Saccharomycetales,Saccharomycetes
yersinia frederiksenii,29484,TRUE,Yersinia frederiksenii,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
yersinia kristensenii,28152,TRUE,Yersinia kristensenii,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
zika virus,64320,TRUE,Zika virus,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
acanthamoeba hatchetti,65660,TRUE,Acanthamoeba hatchetti,Acanthamoeba,Acanthamoebidae,Longamoebia,NA
acanthamoeba lenticulata,29196,TRUE,Acanthamoeba lenticulata,Acanthamoeba,Acanthamoebidae,Longamoebia,NA
achromobacter denitrificans,32002,TRUE,Achromobacter denitrificans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria
achromobacter piechaudii,72556,TRUE,Achromobacter piechaudii,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria
acinetobacter berezinae,106648,TRUE,Acinetobacter bereziniae,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
acinetobacter haemolyticus,29430,TRUE,Acinetobacter haemolyticus,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
acinetobacter parvus,134533,TRUE,Acinetobacter parvus,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
acinetobacter septicus,465797,TRUE,Acinetobacter septicus,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
actinobacillus hominis,719,TRUE,Actinobacillus hominis,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
actinobacillus ureae,723,TRUE,Actinobacillus ureae,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
actinomadura meyerae,240840,TRUE,Actinomadura meyerae,Actinomadura,Thermomonosporaceae,Streptosporangiales,Actinomycetia
actinomadura pelletieri,111805,TRUE,Actinomadura pelletieri,Actinomadura,Thermomonosporaceae,Streptosporangiales,Actinomycetia
actinomucor elegans,64647,TRUE,Actinomucor elegans,Actinomucor,Mucoraceae,Mucorales,Mucoromycetes
actinomyces cardiffensis,181487,TRUE,Schaalia cardiffensis,Schaalia,Actinomycetaceae,Actinomycetales,Actinomycetia
actinomyces denticolens,52767,TRUE,Actinomyces denticolens,Actinomyces,Actinomycetaceae,Actinomycetales,Actinomycetia
actinomyces funkei,132933,TRUE,Schaalia funkei,Schaalia,Actinomycetaceae,Actinomycetales,Actinomycetia
actinomyces georgiae,52768,TRUE,Schaalia georgiae,Schaalia,Actinomycetaceae,Actinomycetales,Actinomycetia
actinomyces graevenitzii,55565,TRUE,Actinomyces graevenitzii,Actinomyces,Actinomycetaceae,Actinomycetales,Actinomycetia
actinomyces massiliensis,461393,TRUE,Actinomyces massiliensis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinomycetia
actinomyces neuii,33007,TRUE,Winkia neuii,Winkia,Actinomycetaceae,Actinomycetales,Actinomycetia
actinomyces oris,544580,TRUE,Actinomyces oris,Actinomyces,Actinomycetaceae,Actinomycetales,Actinomycetia
actinomyces radingae,131110,TRUE,Schaalia radingae,Schaalia,Actinomycetaceae,Actinomycetales,Actinomycetia
actinomyces turicensis,131111,TRUE,Schaalia turicensis,Schaalia,Actinomycetaceae,Actinomycetales,Actinomycetia
actinomyces urogenitalis,103621,TRUE,Actinomyces urogenitalis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinomycetia
adlercreutzia equolifaciens,446660,TRUE,Adlercreutzia equolifaciens,Adlercreutzia,Eggerthellaceae,Eggerthellales,Coriobacteriia
aerococcus christensenii,87541,TRUE,Aerococcus christensenii,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli
aerococcus sanguinicola,119206,TRUE,Aerococcus sanguinicola,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli
aeromonas aquariorum,196024,TRUE,Aeromonas dhakensis,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
aeromonas tecta,324617,TRUE,Aeromonas tecta,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
aggregatibacter segnis,739,TRUE,Aggregatibacter segnis,Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
agrobacterium larrymoorei,160699,TRUE,Agrobacterium larrymoorei,Agrobacterium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria
agrobacterium rhizogenes,359,TRUE,Agrobacterium rhizogenes,Agrobacterium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria
agrococcus baldri,153730,TRUE,Agrococcus baldri,Agrococcus,Microbacteriaceae,Micrococcales,Actinomycetia
alistipes onderdonkii,328813,TRUE,Alistipes onderdonkii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia
alistipes shahii,328814,TRUE,Alistipes shahii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia
alternaria triticina,216836,TRUE,Alternaria triticina,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes
anaerococcus lactolyticus,33032,TRUE,Anaerococcus lactolyticus,Anaerococcus,Peptoniphilaceae,Tissierellales,Tissierellia
anaeroglobus geminatus,156456,TRUE,Anaeroglobus geminatus,Anaeroglobus,Veillonellaceae,Veillonellales,Negativicutes
anoxybacillus pushchinoensis,150248,TRUE,Anoxybacillus pushchinoensis,Anoxybacillus,Bacillaceae,Bacillales,Bacilli
aonchotheca philippinensis,1457282,TRUE,Paracapillaria philippinensis,Paracapillaria,Capillariidae,Trichinellida,Enoplea
aquamicrobium lusatiense,89772,TRUE,Aquamicrobium lusatiense,Aquamicrobium,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria
arcanobacterium bernardiae,59561,TRUE,Trueperella bernardiae,Trueperella,Actinomycetaceae,Actinomycetales,Actinomycetia
arthrobacter creatinolyticus,162496,TRUE,Glutamicibacter creatinolyticus,Glutamicibacter,Micrococcaceae,Micrococcales,Actinomycetia
arthrobacter mysorens,257984,TRUE,Glutamicibacter mysorens,Glutamicibacter,Micrococcaceae,Micrococcales,Actinomycetia
arthrobacter woluwensis,156980,TRUE,Arthrobacter woluwensis,Arthrobacter,Micrococcaceae,Micrococcales,Actinomycetia
arthroderma fulvum,63401,TRUE,Nannizzia fulva,Nannizzia,Arthrodermataceae,Onygenales,Eurotiomycetes
arthroderma grubyi,1916091,TRUE,Lophophyton gallinae,Lophophyton,Arthrodermataceae,Onygenales,Eurotiomycetes
arthrographis kalrae,241728,TRUE,Arthrographis kalrae,Arthrographis,Eremomycetaceae,Eremomycetales,Dothideomycetes
asaia bogorensis,91915,TRUE,Asaia bogorensis,Asaia,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria
asaia lannaensis,415421,TRUE,Asaia lannensis,Asaia,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria
aspergillus aculeatinus,487661,TRUE,Aspergillus aculeatinus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus awamori,105351,TRUE,Aspergillus awamori,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus calidoustus,454130,TRUE,Aspergillus calidoustus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus granulosus,176169,TRUE,Aspergillus granulosus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus insuetus,469274,TRUE,Aspergillus insuetus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus insulicola,138276,TRUE,Aspergillus insulicola,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus kanagawaensis,41751,TRUE,Aspergillus kanagawaensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus lentulus,293939,TRUE,Aspergillus lentulus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus novofumigatus,340412,TRUE,Aspergillus novofumigatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus persii,306094,TRUE,Aspergillus persii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus unguis,40381,TRUE,Aspergillus unguis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus viridinutans,75553,TRUE,Aspergillus viridinutans,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus wentii,5066,TRUE,Aspergillus wentii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
aspergillus westerdijkiae,357447,TRUE,Aspergillus westerdijkiae,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
atopobium vaginae,82135,TRUE,Fannyhessea vaginae,Fannyhessea,Actinomycetaceae,Actinomycetales,Actinomycetia
aurantimonas altamirensis,370622,TRUE,Aureimonas altamirensis,Aureimonas,Aurantimonadaceae,Hyphomicrobiales,Alphaproteobacteria
auxarthron umbrinum,203537,TRUE,Auxarthron umbrinum,Auxarthron,Onygenaceae,Onygenales,Eurotiomycetes
babesia duncani,323732,TRUE,Babesia duncani,Babesia,Babesiidae,Piroplasmida,Aconoidasida
bacillus endophyticus,135735,TRUE,Priestia endophytica,Priestia,Bacillaceae,Bacillales,Bacilli
bacillus mojavensis,72360,TRUE,Bacillus mojavensis,Bacillus,Bacillaceae,Bacillales,Bacilli
bacillus thioparans,370439,TRUE,Mesobacillus thioparans,Mesobacillus,Bacillaceae,Bacillales,Bacilli
bacteroides clarus,626929,TRUE,Bacteroides clarus,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia
bacteroides coprocola,310298,TRUE,Phocaeicola coprocola,Phocaeicola,NA,Bacteroidales,Bacteroidia
