Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
cruzia americana,cruzia americana,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cruzia sp.,cruzia sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cryptocotyle jejunum,cryptocotyle jejunum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cryptocotyle lingua,cryptocotyle lingua,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cryptocotyle sp.,cryptocotyle sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cucurvella vivax,cucurvella vivax,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cupriavidus pauculus,cupriavidus pauculus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyathospirura chevreuxi,cyathospirura chevreuxi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyathospirura sp.,cyathospirura sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyathostomum alveatum,cyathostomum alveatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyathostomum catinatum,cyathostomum catinatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyathostomum labratum,cyathostomum labiatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyathostomum montgomeryi,cyathostomum montgomeryi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyathostomum pateratum,cyathostomum pateratum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyathostomum sp.,cyathostomum sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyathostomum tetracanthum,cyathostomum tetracanthum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cycloposthium bipalmatum,cycloposthium bipalmatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cycloposthium corrugatum,cycloposthium corrugatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cycloposthium dentiferum,cycloposthium dentiferum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cycloposthium edentatum,cycloposthium edentatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cycloposthium scutigerum,cycloposthium scutigerum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyclospora cercopitheci,cyclospora cercopitheci,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyclospora colobi,cyclospora colobi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyclospora papionis,cyclospora papionis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyclospora sp.,cyclospora sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicocyclus adersi,cylicocyclus adersi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicocyclus asini,cylicocyclus asini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicocyclus auriculatus,cylicocyclus auriculatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicocyclus elongatus,cylicocyclus elongatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicocyclus gyalocephaloides,cylicocyclus gyalocephaloides,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicocyclus insigne,cylicocyclus insigne,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicocyclus leptostomum,cylicocyclus leptostomus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicocyclus nassatus,cylicocyclus nassatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicocyclus radiatus,cylicocyclus radiatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicocyclus sp.,cylicocyclus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicocyclus triramosus,cylicocyclus triramosus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicodontophorus reineckei,cylicodontophorus reineckei,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicospirura felineus,cylicospirura felineus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicospirura petrowi,cylicospirura petrowi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicospirura subaequalis,cylicospirura subaequalis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicostephanus asymetricus,cylicostephanus asymetricus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicostephanus bidentatus,cylicostephanus bidentatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicostephanus calicatus,cylicostephanus calicatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicostephanus goldi,cylicostephanus goldi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicostephanus longibursatus,cylicostephanus longibursatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicostephanus longiconus,cylicostephanus longiconus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylicostephanus minutus,cylicostephanus minutus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylindropharynx intermedia,cylindropharynx intermedia,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cylindropharynx sp.,cylindropharynx sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cyrnea sp.,cyrnea sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cystocaulus ocreatus,cystocaulus ocreatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cystocaulus sp.,cystocaulus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cystoisospora belli,cystoisospora belli,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cystoisospora canis,cystoisospora canis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cystoisospora felis,cystoisospora felis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cystoisospora ohioensis,cystoisospora ohioensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cystoisospora sp.,cystoisospora sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cytauxzoon felis,cytauxzoon felis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cytauxzoon manul,cytauxzoon manul,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cytauxzoon sp.,cytauxzoon sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
daubneya oldi,daubneya oldi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
deer adenovirus,deer adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dermatoxys veligera,dermatoxys veligera,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diceronema versterae,diceronema versterae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dicrocoelium colobusicola,dicrocoelium colobusicola,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dicrocoelium sp.,dicrocoelium sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dictyocaulus capreolus,dictyocaulus capreolus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dictyocaulus eckerti,dictyocaulus eckerti,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dictyocaulus filaria,dictyocaulus filaria,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dictyocaulus noerneri,dictyocaulus noerneri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dictyocaulus sp.,dictyocaulus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dictyocaulus viviparus,dictyocaulus viviparus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
didelphonema longispiculata,didelphonema longispiculata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema barbascalensis,dipetalonema barbascalensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema caudispina,dipetalonema caudispina,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema elegans,dipetalonema elegans,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema gracile,dipetalonema gracile,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema graciliformis,dipetalonema graciliformis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema mephitis,dipetalonema mephitis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema obtusa,dipetalonema obtusa,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema parvum,dipetalonema parvum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema petteri,dipetalonema petteri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema rodhaini,dipetalonema rodhaini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema witei,dipetalonema witei,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipetalonema yatesi,dipetalonema yatesi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diphyllobothrium ditremum,diphyllobothrium ditremum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diphyllobothrium fayi,diphyllobothrium fayi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diphyllobothrium medium,diphyllobothrium medium,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diphyllobothrium sp,diphyllobothrium sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diphyllobothrium sp.,diphyllobothrium sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diplodinium anacanthum,diplodinium anacanthum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diplodinium dentatum,diplodinium dentatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diplogonoporus tetrapterus,diplogonoporus tetrapterus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diploplastron affine,diploplastron affine,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diplopylidium monoophorum,diplopylidium monoophorum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diplopylidium noelleri,diplopylidium noelleri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diplopylidium sp.,diplopylidium sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dipylidium sp.,dipylidium sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dirofilaria aethiops,dirofilaria aethiops,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dirofilaria corynodes,dirofilaria corynodes,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dirofilaria lutrae,dirofilaria lutrae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dirofilaria macacae,dirofilaria macacae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dirofilaria magnilarvatum,dirofilaria magnilarvatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dirofilaria schoutedeni,dirofilaria schoutedeni,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dirofilaria sp.,dirofilaria sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dolphin rhabdovirus,dolphin rhabdovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dracunculus sp.,dracunculus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
draschia megastoma,draschia megastoma,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
draschia sp.,draschia sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
echinocasmus sp.,echinochasmus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
echinococcus shiquicus,echinococcus shiquicus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
echinococcus sibiricensis,echinococcus sibiricensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
echinococcus sp.,echinococcus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
echinorhynchus gadi,echinorhynchus gadi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ehrlichia muris,ehrlichia muris,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ehrlichia sp.,ehrlichia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria auburnensis,eimeria auburnensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria bovis,eimeria bovis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria crispus,eimeria crispus,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria felina,eimeria felina,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria furonis,eimeria furonis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria hreindyria,eimeria hreindyria,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria ictidea,eimeria ictidea,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria kamoshika,eimeria kamoshika,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria macusaniensis,eimeria macusaniensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria madisonensis,eimeria madisonensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria mayeri,eimeria mayeri,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria mccordocki,eimeria mccordocki,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria melis,eimeria melis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria mephitidis,eimeria mephitidis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria nuttalli,eimeria nuttalli,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria odocoilei,eimeria odocoilei,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria pachylepyron,eimeria pachylepyron,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria procyonis,eimeria procyonis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria rangiferis,eimeria rangiferis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria serowi,eimeria serowi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria sp.,eimeria sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria vulpis,eimeria vulpis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria zuernii,eimeria zuernii,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
elaeophora elaphi,elaeophora elaphi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
elaeophora sagitta,elaeophora sagitta,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
elaeophora schneideri,elaeophora schneideri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
elaeophora sp.,elaeophora sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
elaphostrongylus alces,elaphostrongylus alces,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
elaphostrongylus cervi,elaphostrongylus cervi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
elaphostrongylus rangiferi,elaphostrongylus rangiferi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
elaphostrongylus sp.,elaphostrongylus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
elyplastron bubali,elyplastron bubali,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
empedobacter brevis,empedobacter brevis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
endolimax nana,endolimax nana,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
endolimax sp.,endolimax sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entamoeba sp.,entamoeba sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterobacter sp.,enterobacter sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterobius anthropopitheci,enterobius anthropopitheci,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterobius bipapillatus,enterobius bipapillatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterobius brevicauda,enterobius brevicauda,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterobius buckleyi,enterobius buckleyi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterobius callithricis,enterobius callithricis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterobius lerouxi,enterobius lerouxi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterobius macaci,enterobius macaci,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterobius sp.,enterobius sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterococcus sp.,enterococcus sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium bicornutum,entodinium bicornutum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium bursa,entodinium bursa,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium caudatum,entodinium caudatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium dubardi,entodinium dubardi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium furca,entodinium furca,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium minimum,entodinium minimum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium rectangulatum,entodinium rectangulatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entopolypoides macaci,entopolypoides macaci,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entopolypoides sp.,entopolypoides sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
epidinium bulbiferum,epidinium bulbiferum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
epidinium caudatum,epidinium caudatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
epidinium gigas,epidinium gigas,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
epizootic hemorrhagic disease,epizootic hemorrhagic disease,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
equid alphaherpesvirus 1,equid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
equid alphaherpesvirus 4,equid herpesvirus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
equid alphaherpesvirus 9,equid herpesvirus 9,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
equid gammaherpesvirus 2,equid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
equine arteritis,equine arteritis,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
equus zebra gammaherpesvirus 2,equus zebra gammaherpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
erwinia sp.,erwinia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
escherichia sp.,escherichia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eucoleus boehmi,eucoleus boehmi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eucoleus schvalovoj,eucoleus schvalovoj,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eucyathostomum sp.,eucyathostomum sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eucyathostomum webbi,eucyathostomum webbi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eudiplodinium maggi,eudiplodinium maggii,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
euparadistomum cercopitheci,euparadistomum cercopitheci,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
euparyphium beaveri,euparyphium beaveri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
euparyphium inermo,euparyphium inermo,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
euparyphium melis,euparyphium melis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
euparyphium sp.,euparyphium sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
euryhelmis costaricensis,euryhelmis costaricensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
euryhelmis pacifica,euryhelmis pacifica,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
euryhelmis squamula,euryhelmis squamula,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eurytrema procyonis,eurytrema procyonis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eurytrema sp.,eurytrema sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
fasciola sp.,fasciola sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
fascioloides magna,fascioloides magna,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
felid alphaherpesvirus 1,felid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
feline calicivirus,feline calicivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
feline immunodeficiency,feline immunodeficiency,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
feline leukemia,feline leukemia,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
fibricola cartera,fibricola cartera,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
fibricola cratera,fibricola cratera,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
fibricola texensis,fibricola texensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filaria martis,filaria martis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filaria sp.,filaria sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filaria taxideae,filaria taxideae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filariopsis arator,filariopsis arator,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filariopsis barretoi,filariopsis barretoi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filariopsis cebuellaa,filariopsis cebuellaa,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filariopsis gordius,filariopsis gordius,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filariopsis usper,filariopsis usper,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filaroides barretoi,filaroides barretoi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filaroides bronchialis,filaroides bronchialis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filaroides gordius,filaroides gordius,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filaroides hispidus,filaroides hispidus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filaroides krascheninnikovi,filaroides krascheninnikovi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filaroides martis,filaroides martis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filaroides milksi,filaroides milksi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
filaroides sp.,filaroides sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
flavobacterium sp.,flavobacterium sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
foot-and-mouth disease,foot-and-mouth disease,virus,1,0,1,1,1,0,NA,NA,0,0,NA,0,NA,1,,
gaigeria pachyscelis,gaigeria pachyscelis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
gaigeria sp.,gaigeria sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
galactosomum stelleri,galactosomum stelleri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
gastrodiscoides sp.,gastrodiscoides sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
gastrodiscus aegyptiacus,gastrodiscus aegyptiacus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
gastrothylax crumenifer,gastrothylax crumenifer,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
gazellostrongylus lerouxi,gazellostrongylus lerouxi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
gemella haemolysans,gemella haemolysans,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
