Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
nematodirus archari,nematodirus archari,nematodirus archari,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus battus,nematodirus battus,nematodirus battus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus davtiani,nematodirus davtiani,nematodirus davtiani,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus dogieli,nematodirus dogieli,nematodirus dogieli,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus europaeus,nematodirus europaeus,nematodirus europaeus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus filicollis,nematodirus filicollis,nematodirus filicollis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus gazellae,nematodirus gazellae,nematodirus gazellae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus helvetianus,nematodirus helvetianus,nematodirus helvetianus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus hugonnetae,nematodirus hugonnetae,nematodirus hugonnetae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus odocoilei,nematodirus odocoilei,nematodirus odocoilei,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus oiratianus,nematodirus oiratianus,nematodirus oiratianus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus roscidus,nematodirus roscidus,nematodirus roscidus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus rupicaprae,nematodirus rupicaprae,nematodirus rupicaprae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus sp.,nematodirus sp.,nematodirus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus spathiger,nematodirus spathiger,nematodirus spathiger,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nematodirus tarandi,nematodirus tarandi,nematodirus tarandi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neodiplostomum sp.,neodiplostomum sp.,neodiplostomum sp.,helminth,1,0,1,1,1,1,echinostomiasis,"food, water",1,0,NA,0,NA,1,,
neodiplostomum tamarini,neodiplostomum tamarini,neodiplostomum tamarini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neorhabditostomum yeni,neorhabditostomum yeni,neorhabditostomum yeni,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neostrongylus linearis,neostrongylus linearis,neostrongylus linearis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neostrongylus sp.,neostrongylus sp.,neostrongylus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nephridiacanthus sp.,nephridiacanthus sp.,nephridiacanthus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nochtia nochti,nochtia nochti,nochtia nochti,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
not identified to genus,NA,NA,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
notocotylus sp.,notocotylus sp.,notocotylus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oculotrema hippopotami,oculotrema hippopotami,oculotrema hippopotami,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagodontus robustus,oesophagodontus robustus,oesophagodontus robustus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum aculeatum,oesophagostomum aculeatum,oesophagostomum aculeatum,helminth,1,0,1,1,1,1,oesophagostomiasis,"water, fecal-oral, environment",1,0,NA,0,NA,1,NA,NA
oesophagostomum africanum,oesophagostomum africanum,oesophagostomum africanum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum apiostomum,oesophagostomum apiostomum,oesophagostomum apiostomum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum bifurcum,oesophagostomum bifurcum,oesophagostomum bifurcum,helminth,1,1,1,1,1,1,oesophagostomiasis,"water, fecal-oral, environment",1,0,NA,0,NA,1,NA,NA
oesophagostomum brumpti,oesophagostomum brumpti,oesophagostomum brumpti,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum columbianum,oesophagostomum columbianum,oesophagostomum columbianum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum dentatum,oesophagostomum dentatum,oesophagostomum dentatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum maurum,oesophagostomum maurum,oesophagostomum maurum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum mocambiquei,oesophagostomum mocambiquei,oesophagostomum mocambiquei,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum mwanzae,oesophagostomum mwanzae,oesophagostomum mwanzae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum pachycephalum,oesophagostomum pachycephalum,oesophagostomum pachycephalum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum quadrispinulatum,oesophagostomum quadrispinulatum,oesophagostomum quadrispinulatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum radiatum,oesophagostomum radiatum,oesophagostomum radiatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum sp.,oesophagostomum sp.,oesophagostomum sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophagostomum stephanostomum,oesophagostomum stephanostomum,oesophagostomum stephanostomum,helminth,1,0,1,1,1,1,oesophagostomiasis,"water, fecal-oral, environment",1,0,NA,0,NA,1,NA,NA
oesophagostomum venulosum,oesophagostomum venulosum,oesophagostomum venulosum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesophogostomum apiostomum,oesophogostomum apiostomum,oesophogostomum apiostomum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oesphagostomum columbianum,oesphagostomum columbianum,oesphagostomum columbianum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ogmocotyle sp.,ogmocotyle sp.,ogmocotyle sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ollulanus sp.,ollulanus sp.,ollulanus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ollulanus tricuspis,ollulanus tricuspis,ollulanus tricuspis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca cervipedis,onchocerca cervipedis,onchocerca cervipedis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca dewittei,onchocerca dewittei,onchocerca dewittei,helminth,1,1,1,1,1,1,onchocerciasis (zoonotic),vector,1,1,blackfly (simulium),0,NA,0,NA,NA
onchocerca eberhardi,onchocerca eberhardi,onchocerca eberhardi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca flexuosa,onchocerca flexuosa,onchocerca flexuosa,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca garmsi,onchocerca garmsi,onchocerca garmsi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca gutturosa,onchocerca gutturosa,onchocerca gutturosa,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca jakutensis,onchocerca jakutensis,onchocerca jakutensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca lienalis,onchocerca lienalis,onchocerca lienalis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca ramachandrini,onchocerca ramachandrini,onchocerca ramachandrini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca skrjabini,onchocerca skrjabini,onchocerca skrjabini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca sp.,onchocerca sp.,onchocerca sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca suzukii,onchocerca suzukii,onchocerca suzukii,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
onchocerca volvulus,onchocerca volvulus,onchocerca volvulus,helminth,1,1,1,1,1,1,onchocerciasis,vector,1,1,blackfly (Simulium spp.),0,NA,1,"Northern Africa, Eastern Africa, Middle Africa, Western Africa, Central America, South America, Western Asia, Southern Europe","SD,BR,MX,YE,IT,BF,ML,EC,ET,BJ,SS,UG,CM,NG,GT,TG"
oncicola canis,oncicola canis,oncicola canis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oncicola sp.,oncicola sp.,oncicola sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oochoristica megastoma,oochoristica megastoma,oochoristica megastoma,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oochoristica sp.,oochoristica sp.,oochoristica sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ophryocotyle buecki,ophryocotyle buecki,ophryocotyle buecki,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
opisthorchis felineus,opisthorchis felineus,opisthorchis felineus,helminth,1,1,1,1,1,1,opisthorchiasis,"food, water",1,1,NA,1,opisthorchiasis,1,NA,NA
opisthorchis sp.,opisthorchis sp.,opisthorchis sp.,helminth,1,0,1,1,1,1,opisthorchiasis,"food, water",1,1,NA,1,opisthorchiasis,1,NA,NA
orthocoelium scoliocoelium,orthocoelium scoliocoelium,orthocoelium scoliocoelium,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
orthocoelium streptocoelium,orthocoelium streptocoelium,orthocoelium streptocoelium,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
orthosplanchnus fraterculus,orthosplanchnus fraterculus,orthosplanchnus fraterculus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
orthostrongylus macrotis,orthostrongylus macrotis,orthostrongylus macrotis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oslerus osleri,oslerus osleri,oslerus osleri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oslerus pararostratus,oslerus pararostratus,oslerus pararostratus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oslerus rostratus,oslerus rostratus,oslerus rostratus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia arctica,ostertagia arctica,ostertagia arctica,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia dikmansi,ostertagia dikmansi,ostertagia dikmansi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia drozdzi,ostertagia drozdzi,ostertagia drozdzi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia gruehneri,ostertagia gruehneri,ostertagia gruehneri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia harrisi,ostertagia harrisi,ostertagia harrisi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia kenyensis,ostertagia kenyensis,ostertagia kenyensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia kolchida,ostertagia kolchida,ostertagia kolchida,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia leptospicularis,ostertagia leptospicularis,ostertagia leptospicularis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia lyrata,ostertagia lyrata,ostertagia lyrata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia mossi,ostertagia mossi,ostertagia mossi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia ostertagi,ostertagia ostertagi,ostertagia ostertagi,helminth,1,1,1,1,1,1,trichostrongyliasis,"food, water, direct, environment",1,0,NA,0,NA,1,NA,NA
ostertagia sp.,ostertagia sp.,ostertagia sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia trifurcata,ostertagia trifurcata,ostertagia trifurcata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostertagia triquetra,ostertagia triquetra,ostertagia triquetra,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
otostrongylus circumlitus,otostrongylus circumlitus,otostrongylus circumlitus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oxynema crassispiculum,oxynema crassispiculum,oxynema crassispiculum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oxynema sp.,oxynema sp.,oxynema sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oxyuris equi,oxyuris equi,oxyuris equi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oxyuris karamoja,oxyuris karamoja,oxyuris karamoja,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oxyuris sp.,oxyuris sp.,oxyuris sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
oxyuronema sp.,oxyuronema sp.,oxyuronema sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pachysentis canicola,pachysentis canicola,pachysentis canicola,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pachysentis sp.,pachysentis sp.,pachysentis sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parabronema bonnei,parabronema bonnei,parabronema bonnei,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parabronema pecariae,parabronema pecariae,parabronema pecariae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parabronema roundi,parabronema roundi,parabronema roundi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parabronema skrjabini,parabronema skrjabini,parabronema skrjabini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parabronema sp.,parabronema sp.,parabronema sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paracooperia devossi,paracooperia devossi,paracooperia devossi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paracooperia horaki,paracooperia horaki,paracooperia horaki,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paracooperia serrata,paracooperia serrata,paracooperia serrata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paracooperioides peleae,paracooperioides peleae,paracooperioides peleae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafasciolopsis fasciolaemorpha,parafasciolopsis fasciolaemorpha,parafasciolopsis fasciolaemorpha,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafilaria bassoni,parafilaria bassoni,parafilaria bassoni,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafilaroides decorus,parafilaroides decorus,parafilaroides decorus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafilaroides gymnurus,parafilaroides gymnurus,parafilaroides gymnurus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafilaroides normani,parafilaroides normani,parafilaroides normani,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafilaroides sp.,parafilaroides sp.,parafilaroides sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paragonimus africanus,paragonimus africanus,paragonimus africanus,helminth,1,0,1,1,1,1,paragonimiasis,food,1,0,NA,0,NA,1,,
paragonimus ohirai,paragonimus ohirai,paragonimus ohirai,helminth,1,0,1,1,1,1,paragonimiasis,food,1,0,NA,0,NA,1,,
paragonimus pulmonalis,paragonimus pulmonalis,paragonimus pulmonalis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paragonimus rudis,paragonimus rudis,paragonimus rudis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paragonimus sp.,paragonimus sp.,paragonimus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paralibyostrongylus hebrenicutus,paralibyostrongylus hebrenicutus,paralibyostrongylus hebrenicutus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paralibyostrongylus kalinae,paralibyostrongylus kalinae,paralibyostrongylus kalinae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parallelorchis diglossus,parallelorchis diglossus,parallelorchis diglossus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parametorchis complexus,parametorchis complexus,parametorchis complexus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paramphistomum cervi,paramphistomum cervi,paramphistomum cervi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paramphistomum epiclitum,paramphistomum epiclitum,paramphistomum epiclitum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paramphistomum ichikawai,paramphistomum ichikawai,paramphistomum ichikawai,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paramphistomum liorchis,paramphistomum liorchis,paramphistomum liorchis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paramphistomum sp.,paramphistomum sp.,paramphistomum sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paraoxyuronema brachytelesi,paraoxyuronema brachytelesi,paraoxyuronema brachytelesi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parapoteriostomum euproctus,parapoteriostomum euproctus,parapoteriostomum euproctus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parapoteriostomum mettami,parapoteriostomum mettami,parapoteriostomum mettami,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parapoteriostomum schuermanni,parapoteriostomum schuermanni,parapoteriostomum schuermanni,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pararhabdonema longistriata,pararhabdonema longistriata,pararhabdonema longistriata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parascaris equorum,parascaris equorum,parascaris equorum,helminth,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
parascaris sp.,parascaris sp.,parascaris sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parelaphostrongylus andersoni,parelaphostrongylus andersoni,parelaphostrongylus andersoni,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parelaphostrongylus odocoilei,parelaphostrongylus odocoilei,parelaphostrongylus odocoilei,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parelaphostrongylus tenuis,parelaphostrongylus tenuis,parelaphostrongylus tenuis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
passalurus nonannulatus,passalurus nonannulatus,passalurus nonannulatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paulianfilaria pauliana,paulianfilaria pauliana,paulianfilaria pauliana,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pearsonema mucronata,pearsonema mucronata,pearsonema mucronata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pelodera strongyloides,pelodera strongyloides,pelodera strongyloides,helminth,1,0,1,1,1,1,cutaneous larva migrans,"environment, direct",1,0,NA,0,NA,1,,
pentatrichomonas hominis,pentatrichomonas hominis,pentatrichomonas hominis,helminth,1,0,1,1,1,1,trichomoniasis,sexual,0,0,NA,0,NA,1,NA,NA
petrovinema poculatum,petrovinema poculatum,petrovinema poculatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phagicola angrense,phagicola angrense,phagicola angrense,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phagicola diminuta,phagicola diminuta,phagicola diminuta,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phagicola longa,phagicola longa,phagicola longa,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phagicola sp.,phagicola sp.,phagicola sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phaneropsolus orbicularis,phaneropsolus orbicularis,phaneropsolus orbicularis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phaneropsolus perodictici,phaneropsolus perodictici,phaneropsolus perodictici,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pharyngodon sp.,pharyngodon sp.,pharyngodon sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pharyngostomoides adenocephala,pharyngostomoides adenocephala,pharyngostomoides adenocephala,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pharyngostomoides procyonis,pharyngostomoides procyonis,pharyngostomoides procyonis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pharyngostomoides sp.,pharyngostomoides sp.,pharyngostomoides sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pharyngostomum cordatum,pharyngostomum cordatum,pharyngostomum cordatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
philophthalmus zalophi,philophthalmus zalophi,philophthalmus zalophi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phocanema decipiens,phocanema decipiens,phocanema decipiens,helminth,1,0,1,1,1,1,anisakiasis,food,1,0,NA,0,NA,0,,
phocascaris cystophorae,phocascaris cystophorae,phocascaris cystophorae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phocascaris phocae,phocascaris phocae,phocascaris phocae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phocascaris sp.,phocascaris sp.,phocascaris sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phocitrema fusiforme,phocitrema fusiforme,phocitrema fusiforme,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phyllobothrium delphini,phyllobothrium delphini,phyllobothrium delphini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera caucasia,physaloptera caucasia,physaloptera caucasia,helminth,1,0,1,1,1,1,gnathostomiasis,"food, water, direct",1,0,NA,0,NA,1,NA,NA
physaloptera cebi,physaloptera cebi,physaloptera cebi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera dilatata,physaloptera dilatata,physaloptera dilatata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera maxillaris,physaloptera maxillaris,physaloptera maxillaris,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera mordens,physaloptera mordens,physaloptera mordens,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera multipapillata,physaloptera multipapillata,physaloptera multipapillata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera multiuteri,physaloptera multiuteri,physaloptera multiuteri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera praeputialis,physaloptera praeputialis,physaloptera praeputialis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera rara,physaloptera rara,physaloptera rara,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera sibirica,physaloptera sibirica,physaloptera sibirica,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera sp.,physaloptera sp.,physaloptera sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physocephalus sexalatus,physocephalus sexalatus,physocephalus sexalatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physocephalus sp.,physocephalus sp.,physocephalus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
placoconus lotoris,placoconus lotoris,placoconus lotoris,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plagiorchis elegans,plagiorchis elegans,plagiorchis elegans,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plagiorchis muris,plagiorchis muris,plagiorchis muris,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plagiorchis vespertilionis,plagiorchis vespertilionis,plagiorchis vespertilionis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plagiorhynchus cylindraceus,plagiorhynchus cylindraceus,plagiorhynchus cylindraceus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plagiorhynchus ogatai,plagiorhynchus ogatai,plagiorhynchus ogatai,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
platynosomum amazonensis,platynosomum amazonensis,platynosomum amazonensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
platynosomum marmoseti,platynosomum marmoseti,platynosomum marmoseti,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plenosoma minimum,plenosoma minimum,plenosoma minimum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pneumostrongylus calcaratus,pneumostrongylus calcaratus,pneumostrongylus calcaratus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
polymorphus cetaceum,polymorphus cetaceum,polymorphus cetaceum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
polymorphus major,polymorphus major,polymorphus major,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
polymorphus meyeri,polymorphus meyeri,polymorphus meyeri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
polymorphus sp.,polymorphus sp.,polymorphus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pomphorhynchus laevis,pomphorhynchus laevis,pomphorhynchus laevis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
porrocaecum decipiens,porrocaecum decipiens,porrocaecum decipiens,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
porrocaecum sp.,porrocaecum sp.,porrocaecum sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
porrorchis leibyi,porrorchis leibyi,porrorchis leibyi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
