Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,Vector_GIDEON,VectorBorne,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
frenkelia microti,frenkelia microti,frenkelia microti,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
geneiorhynchus manifestus,geneiorhynchus manifestus,geneiorhynchus manifestus,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
giardia intestinalis,giardia intestinalis,giardia intestinalis,protozoa,1,1,1,1,1,1,giardiasis,"food, water, environment",1,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IR,ET,PL,CN,IN,JP,AU,ES,CU,DE,MX,US,TN,BE,KR,CA,GB,GW,HR,CZ,BD,DK,IT,BF,BR,TH,SE,NZ,TW,EG,VE,TR"
giardia microti,giardia microti,giardia microti,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
giardia muris,giardia muris,giardia muris,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Southern Europe,HR
giardia psittaci,giardia psittaci,giardia psittaci,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Australia and New Zealand","JP,AU"
gigantomonas herculea,gigantomonas herculea,gigantomonas herculea,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
goussia balatonica,goussia balatonica,goussia balatonica,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
goussia carpelli,goussia carpelli,goussia carpelli,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
goussia desseri,goussia desseri,goussia desseri,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,HU
goussia janae,goussia janae,goussia janae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,CZ
goussia metchnikovi,goussia metchnikovi,goussia metchnikovi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
goussia neglecta,goussia neglecta,goussia neglecta,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
goussia noelleri,goussia noelleri,goussia noelleri,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
gregarina basiconstrictonea,gregarina basiconstrictonea,gregarina basiconstrictonea,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
gregarina blattarum,gregarina blattarum,gregarina blattarum,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
gregarina cloptoni,gregarina cloptoni,gregarina cloptoni,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
gregarina coronata,gregarina coronata,gregarina coronata,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
gregarina cubensis,gregarina cubensis,gregarina cubensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
gregarina cuneata,gregarina cuneata,gregarina cuneata,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
gregarina diabrotica,gregarina diabrotica,gregarina diabrotica,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
gregarina kingi,gregarina kingi,gregarina kingi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
gregarina niphandrodes,gregarina niphandrodes,gregarina niphandrodes,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
gregarina polymorpha,gregarina polymorpha,gregarina polymorpha,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus balmorali,haemoproteus balmorali,haemoproteus balmorali,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus belopolskyi,haemoproteus belopolskyi,haemoproteus belopolskyi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,RU
haemoproteus chelodinae,haemoproteus chelodinae,haemoproteus chelodinae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus coatneyi,haemoproteus coatneyi,haemoproteus coatneyi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus columbae,haemoproteus columbae,haemoproteus columbae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,South America,VE
haemoproteus danilewskyii,haemoproteus danilewskyii,haemoproteus danilewskyii,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus elani,haemoproteus elani,haemoproteus elani,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
haemoproteus enucleator,haemoproteus enucleator,haemoproteus enucleator,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus fringillae,haemoproteus fringillae,haemoproteus fringillae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus iwa,haemoproteus iwa,haemoproteus iwa,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus kopki,haemoproteus kopki,haemoproteus kopki,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus lanii,haemoproteus lanii,haemoproteus lanii,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Europe, Australia and New Zealand","AU,RU"
haemoproteus magnus,haemoproteus magnus,haemoproteus magnus,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus majoris,haemoproteus majoris,haemoproteus majoris,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,SE
haemoproteus meleagridis,haemoproteus meleagridis,haemoproteus meleagridis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
haemoproteus minutus,haemoproteus minutus,haemoproteus minutus,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus pallidus,haemoproteus pallidus,haemoproteus pallidus,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Eastern Europe","CN,RU"
haemoproteus passeris,haemoproteus passeris,haemoproteus passeris,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus payevskyi,haemoproteus payevskyi,haemoproteus payevskyi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Europe, Australia and New Zealand","RU,AU"
haemoproteus picae,haemoproteus picae,haemoproteus picae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus ptyodactylii,haemoproteus ptyodactylii,haemoproteus ptyodactylii,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Western Asia,IL
haemoproteus sanguinis,haemoproteus sanguinis,haemoproteus sanguinis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus sylvae,haemoproteus sylvae,haemoproteus sylvae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus tartakovskyi,haemoproteus tartakovskyi,haemoproteus tartakovskyi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Europe, Southern Europe","IT,RU"
haemoproteus turtur,haemoproteus turtur,haemoproteus turtur,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haemoproteus vacuolatus,haemoproteus vacuolatus,haemoproteus vacuolatus,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
hammondia hammondi,hammondia hammondi,hammondia hammondi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Western Europe,DE
hammondia heydorni,hammondia heydorni,hammondia heydorni,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Northern America, Eastern Europe, Western Europe, Australia and New Zealand","BR,CZ,US,NZ,DE,AR"
hammondia triffittae,hammondia triffittae,hammondia triffittae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,NO
haplosporidium costale,haplosporidium costale,haplosporidium costale,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
haplosporidium louisiana,haplosporidium louisiana,haplosporidium louisiana,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
haplosporidium montforti,haplosporidium montforti,haplosporidium montforti,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
haplosporidium nelsoni,haplosporidium nelsoni,haplosporidium nelsoni,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
hematodinium perezi,hematodinium perezi,hematodinium perezi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
hepatozoon americanum,hepatozoon americanum,hepatozoon americanum,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
hepatozoon canis,hepatozoon canis,hepatozoon canis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern Africa, Western Africa, South America, Southern Asia, Western Asia, Eastern Europe, Southern Europe","PL,TW,SD,TR,HR,ES,AF,BR,IT,IN,CV"
hepatozoon felis,hepatozoon felis,hepatozoon felis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Southern Asia, Southern Europe","BR,IN,ES"
hepatozoon ursi,hepatozoon ursi,hepatozoon ursi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Southern Asia,IN
herpetomonas mariadeanei,herpetomonas mariadeanei,herpetomonas mariadeanei,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,RU
herpetomonas megaseliae,herpetomonas megaseliae,herpetomonas megaseliae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
herpetomonas muscarum,herpetomonas muscarum,herpetomonas muscarum,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
herpetomonas ztiplika,herpetomonas ztiplika,herpetomonas ztiplika,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,CZ
hexamastix kirbyi,hexamastix kirbyi,hexamastix kirbyi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
hexamastix mitis,hexamastix mitis,hexamastix mitis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
histomonas meleagridis,histomonas meleagridis,histomonas meleagridis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Asia, Western Europe","DE,US,CN"
holomastigotoides mirabile,holomastigotoides mirabile,holomastigotoides mirabile,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
honigbergiella ruminantium,honigbergiella ruminantium,honigbergiella ruminantium,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
hoplorhynchus acanthatholius,hoplorhynchus acanthatholius,hoplorhynchus acanthatholius,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
hyaloklossia lieberkuehni,hyaloklossia lieberkuehni,hyaloklossia lieberkuehni,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,CZ
hyalophysa chattoni,hyalophysa chattoni,hyalophysa chattoni,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
hyalophysa lwoffi,hyalophysa lwoffi,hyalophysa lwoffi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
ichthyobodo necator,ichthyobodo necator,ichthyobodo necator,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,NO
ichthyodinium chabelardi,ichthyodinium chabelardi,ichthyodinium chabelardi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,South-eastern Asia,VN
isospora hypoleucae,isospora hypoleucae,isospora hypoleucae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
isospora orlovi,isospora orlovi,isospora orlovi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
isospora rivolta,isospora rivolta,isospora rivolta,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
isotricha intestinalis,isotricha intestinalis,isotricha intestinalis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
isotricha prostoma,isotricha prostoma,isotricha prostoma,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
joenia annectens,joenia annectens,joenia annectens,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
joenina pulchella,joenina pulchella,joenina pulchella,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
joenoides intermedia,joenoides intermedia,joenoides intermedia,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
labyrinthuloides haliotidis,labyrinthuloides haliotidis,labyrinthuloides haliotidis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
lankesterella valsainensis,lankesterella valsainensis,lankesterella valsainensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Southern Europe,ES
leidyana erratica,leidyana erratica,leidyana erratica,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leidyana haasi,leidyana haasi,leidyana haasi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leidyana migrator,leidyana migrator,leidyana migrator,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leishmania aethiopica,leishmania aethiopica,leishmania aethiopica,protozoa,,,,,,,,,,,,,,,,
leishmania amazonensis,leishmania amazonensis,leishmania amazonensis,protozoa,,,,,,,,,,,,,,,,
leishmania braziliensis,leishmania braziliensis,leishmania braziliensis,protozoa,1,1,1,1,1,1,mutocutaneous leishmaniasis,vector,1,sandfly (lutzomyia or psychodopygus),1,1,cutaneous leishmaniasis,1,"Central America, South America","CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,BZ,GT,HN,SV,NI,CR,PA,MX"
leishmania chagasi,leishmania chagasi,leishmania chagasi,protozoa,1,1,1,1,1,0,NA,NA,0,NA,1,1,visceral leishmaniasis,1,"Northern Africa, Western Africa, Central America, South America, Central Asia, Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Southern Europe","CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,BZ,GT,HN,SV,NI,CR,PA,PT,ES,IT,MA,DZ,TN,EG,LY,GR,SL,HR,BA,TR,RO,BG,IR,YE,SA,OM,IQ,TM,AF,CN,UZ,PK"
leishmania donovani,leishmania donovani,leishmania donovani,protozoa,1,1,1,1,1,1,visceral leishmaniasis (kala azar),vector,1,"sandfly (phlebotomus, lutzomyia)",1,1,visceral leishmaniasis,1,"Northern Africa, Eastern Africa, Middle Africa, Western Africa, Central Asia, South-eastern Asia, Southern Asia, Eastern Europe, South America, Eastern Asia, Western Asia, Northern Europe, Southern Europe, Western Europe","SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,CD,CG,GA,GQ,CM,CF,SS,SD,TD,MA,DZ,TN,LY,EG,KZ,RU,UZ,TM,TJ,KG,PK,AF,MM,TH,LA,KH,VN,MY,PH,BN,SA,IN,CN,LB,IR,FR,PT,BD,IT,BR,IQ,DJ,BT,LK,CY,GB,MV"
leishmania enriettii,leishmania enriettii,leishmania enriettii,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,South America,BR
leishmania guyanensis,leishmania guyanensis,leishmania guyanensis,protozoa,,,,,,,,,,,,,,,,
leishmania herreri,leishmania herreri,leishmania herreri,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leishmania infantum,leishmania infantum,leishmania infantum,protozoa,1,1,1,1,1,1,visceral leishmaniasis (kala azar),vector,1,"sandfly (phlebotomus, lutzomyia)",1,1,visceral leishmaniasis,1,"Northern Africa, Western Africa, Central America, South America, Central Asia, Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Southern Europe, Western Europe","CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,BZ,GT,HN,SV,NI,CR,PA,PT,ES,IT,MA,DZ,TN,EG,LY,GR,SL,HR,BA,TR,RO,BG,IR,YE,SA,OM,IQ,TM,AF,CN,UZ,PK,SD,GE,FR,MT,IL,CY"
leishmania lainsoni,leishmania lainsoni,leishmania lainsoni,protozoa,,,,,,,,,,,,,,,,
leishmania major,leishmania major,leishmania major,protozoa,1,1,1,1,1,1,cutaneous leishmaniasis,vector,1,sandfly (phlebotomus),1,0,NA,1,"Northern Africa, Eastern Africa, Western Africa, Central Asia, Southern Asia, Western Asia","IL,SD,SA,TM,TN,IR,KE,UZ,IQ,MA,SY,EG,SN"
leishmania mexicana,leishmania mexicana,leishmania mexicana,protozoa,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Central America, South America, Northern America","MX,BZ,PA,BR,GT,US"
leishmania panamensis,leishmania panamensis,leishmania panamensis,protozoa,,,,,,,,,,,,,,,,
leishmania peruviana,leishmania peruviana,leishmania peruviana,protozoa,1,1,1,0,1,0,cutaneous leishmaniasis,vector,1,sandfly (Lutzomyia),1,0,NA,1,South America,PE
leishmania shawi,leishmania shawi,leishmania shawi,protozoa,1,0,1,1,1,1,leishmaniasis,vector,1,sandfly (Lutzomyia),1,0,NA,1,,
leishmania tropica,leishmania tropica,leishmania tropica,protozoa,1,1,1,1,1,1,cutaneous leishmaniasis,vector,1,sandfly (phlebotomus),1,1,cutaneous leishmaniasis,1,"Northern Africa, Central Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Eastern Africa","KZ,RU,UZ,TM,TJ,KG,PK,AF,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,MA,DZ,TN,LY,EG,MM,TH,LA,KH,VN,MY,PH,BN,SD,KE,IN"
leishmania turanica,leishmania turanica,leishmania turanica,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Central Asia, Eastern Asia, Southern Asia, Western Asia","CN,KZ,MN,IR,UZ,AM,TM"
leptomonas pyrrhocoris,leptomonas pyrrhocoris,leptomonas pyrrhocoris,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leucocytozoon caulleryi,leucocytozoon caulleryi,leucocytozoon caulleryi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,JP
leucocytozoon dubreuili,leucocytozoon dubreuili,leucocytozoon dubreuili,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
leucocytozoon fringillinarum,leucocytozoon fringillinarum,leucocytozoon fringillinarum,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leucocytozoon gentili,leucocytozoon gentili,leucocytozoon gentili,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leucocytozoon lovati,leucocytozoon lovati,leucocytozoon lovati,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,JP
leucocytozoon macleani,leucocytozoon macleani,leucocytozoon macleani,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Middle Africa,CM
leucocytozoon majoris,leucocytozoon majoris,leucocytozoon majoris,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leucocytozoon sabrazesi,leucocytozoon sabrazesi,leucocytozoon sabrazesi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leucocytozoon schoutedeni,leucocytozoon schoutedeni,leucocytozoon schoutedeni,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leucocytozoon simondi,leucocytozoon simondi,leucocytozoon simondi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leucocytozoon squamatus,leucocytozoon squamatus,leucocytozoon squamatus,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leucocytozoon toddi,leucocytozoon toddi,leucocytozoon toddi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leucocytozoon ziemanni,leucocytozoon ziemanni,leucocytozoon ziemanni,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
marteilia refringens,marteilia refringens,marteilia refringens,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Southern Europe, Western Europe","GR,IT,ES,FR,SI"
marteilioides chungmuensis,marteilioides chungmuensis,marteilioides chungmuensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,JP
metacoronympha senta,metacoronympha senta,metacoronympha senta,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
metadevescovina cuspidata,metadevescovina cuspidata,metadevescovina cuspidata,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
metadinium medium,metadinium medium,metadinium medium,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
miamiensis avidus,miamiensis avidus,miamiensis avidus,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,KR
minchinia chitonis,minchinia chitonis,minchinia chitonis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,GB
minchinia mercenariae,minchinia mercenariae,minchinia mercenariae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
minchinia tapetis,minchinia tapetis,minchinia tapetis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Southern Europe,ES
minchinia teredinis,minchinia teredinis,minchinia teredinis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
mixotricha paradoxa,mixotricha paradoxa,mixotricha paradoxa,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
monocercomonas colubrorum,monocercomonas colubrorum,monocercomonas colubrorum,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
naegleria australiensis,naegleria australiensis,naegleria australiensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, South-eastern Asia, Western Europe","FR,BE,TW,JP,TH"
naegleria clarki,naegleria clarki,naegleria clarki,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Europe, Australia and New Zealand","TW,CZ,AU"
naegleria fowleri,naegleria fowleri,naegleria fowleri,protozoa,,,,,,,,,,,,,,,,
naegleria fultoni,naegleria fultoni,naegleria fultoni,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
naegleria pagei,naegleria pagei,naegleria pagei,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
naegleria philippinensis,naegleria philippinensis,naegleria philippinensis,protozoa,,,,,,,,,,,,,,,,
neoparamoeba branchiphila,neoparamoeba branchiphila,neoparamoeba branchiphila,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
neoparamoeba pemaquidensis,neoparamoeba pemaquidensis,neoparamoeba pemaquidensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Northern Europe, Australia and New Zealand","AU,IE,GB,US"
neoparamoeba perurans,neoparamoeba perurans,neoparamoeba perurans,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Australia and New Zealand","US,AU"
neospora caninum,neospora caninum,neospora caninum,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Northern America, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IR,ES,NZ,US,IT,AU,SK,CZ,DE,BR,CA,GB"
neospora hughesi,neospora hughesi,neospora hughesi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,CA
nephroisospora eptesici,nephroisospora eptesici,nephroisospora eptesici,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
nyctotheroides deslierresae,nyctotheroides deslierresae,nyctotheroides deslierresae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
nyctotherus ovalis,nyctotherus ovalis,nyctotherus ovalis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Western Europe","NL,JP"
ophryoscolex caudatus,ophryoscolex caudatus,ophryoscolex caudatus,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
ostracodinium dentatum,ostracodinium dentatum,ostracodinium dentatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
ostracodinium gracile,ostracodinium gracile,ostracodinium gracile,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
paradinium poucheti,paradinium poucheti,paradinium poucheti,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
parahaemoproteus vireonis,parahaemoproteus vireonis,parahaemoproteus vireonis,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
paraschneideria metamorphosa,paraschneideria metamorphosa,paraschneideria metamorphosa,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
parauronema virginianum,parauronema virginianum,parauronema virginianum,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
pentatrichomonas hominis,pentatrichomonas hominis,pentatrichomonas hominis,protozoa,1,1,1,1,1,1,trichomoniasis,sexual,0,NA,0,0,NA,1,"Northern America, Eastern Asia, Western Europe","US,AT,KR"
perkinsus chesapeaki,perkinsus chesapeaki,perkinsus chesapeaki,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
perkinsus marinus,perkinsus marinus,perkinsus marinus,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Central America, Northern America","US,MX"
perkinsus olseni,perkinsus olseni,perkinsus olseni,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Southern Europe","CN,ES,IT,PT"
perkinsus qugwadi,perkinsus qugwadi,perkinsus qugwadi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,CA
plagiotoma lumbrici,plagiotoma lumbrici,plagiotoma lumbrici,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
plasmodium agamae,plasmodium agamae,plasmodium agamae,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
plasmodium atheruri,plasmodium atheruri,plasmodium atheruri,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Middle Africa,"CD,GA"
plasmodium azurophilum,plasmodium azurophilum,plasmodium azurophilum,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Caribbean,DM
plasmodium berghei,plasmodium berghei,plasmodium berghei,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Middle Africa, Southern Asia","IN,CD"
plasmodium billbrayi,plasmodium billbrayi,plasmodium billbrayi,protozoa,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Africa, Middle Africa","CG,UG"
